step,mean,std,n,ci95_low,ci95_high
10000,-151.84262000330583,46.29750505325252,3,-204.2331789337005,-99.45206107291116
20000,-132.51221647761471,50.380543298934406,3,-189.5231681393111,-75.50126481591833
30000,-57.51907552921196,37.44780699262414,3,-99.89525836680724,-15.142892691616673
40000,-32.934206777283585,87.4294225116639,3,-131.86991199680082,66.00149844223367
50000,50.45474704745322,59.06232168859309,3,-16.380561711258828,117.29005580616527
60000,65.66341405985321,25.252561444531196,3,37.08745069030701,94.23937742939941
70000,150.02795647427362,45.4136558353798,3,98.63756708824819,201.41834586029904
80000,278.53611491123917,63.468983882013035,3,206.71419844947354,350.3580313730048
90000,322.47865538243485,99.47547807951076,3,209.9115550503692,435.0457557145005
100000,380.8706730844278,35.58858996736973,3,340.5983923688571,421.14295379999845
110000,450.4522340227001,72.51030110015081,3,368.39910397868204,532.5053640667181
120000,433.4769155476797,41.24554450116887,3,386.80318815525953,480.1506429400999
130000,430.3978850707393,200.239965697743,3,203.80503279843708,656.9907373430415
140000,508.1981610253876,165.3722902807562,3,321.0617978575925,695.3345241931827
150000,659.719978343267,112.6021480405897,3,532.2986525974405,787.1413040890935
160000,628.4092313071905,13.261952148031094,3,613.401919687605,643.416542926776
170000,332.4935734839117,381.129777788208,3,-98.79537092840849,763.7825178962319
180000,690.1997187127281,36.26308015070603,3,649.164180502884,731.2352569225721
190000,808.0379955810417,101.20288604615507,3,693.516149118073,922.5598420440105
200000,810.1341719547108,70.6444395931743,3,730.1924629716067,890.075880937815
210000,786.5224320157007,152.0805006124764,3,614.4271448001723,958.6177192312291
220000,653.138639481274,317.14858144933254,3,294.25123449042906,1012.026044472119
230000,545.5006153562359,704.1578953688129,3,-251.3290555124056,1342.3302862248775
240000,459.09925767817487,961.3403506022229,3,-628.7597583197887,1546.9582736761383
250000,904.0528543517103,191.02925015574073,3,687.8829079107121,1120.2228007927085
260000,905.867889676747,210.12035153562394,3,668.094328294977,1143.641451058517
270000,678.4250748270664,186.51673830460877,3,467.3615162527342,889.4886334013986
280000,892.2294787323473,348.29496237353413,3,498.0966257761963,1286.3623316884982
290000,983.9474640927365,193.1378087970226,3,765.3914589294118,1202.5034692560612
300000,1011.4553973665853,255.69369609200209,3,722.1107417997221,1300.8000529334486
310000,1085.9393140581285,228.64875032695053,3,827.1988956579011,1344.6797324583558
