step,mean,std,n,ci95_low,ci95_high
10000,154.55825336722015,83.80376252242024,3,59.72536865843145,249.39113807600884
20000,257.0485156279731,72.3713368509173,3,175.1526384354923,338.94439282045386
30000,211.18273671478303,59.92044466925485,3,143.37637038966056,278.9891030399055
40000,244.81263081790453,32.991799316490095,3,207.47889535371024,282.1463662820988
50000,217.51081572019328,115.20060180807725,3,87.14906272938069,347.8725687110059
60000,464.5692227681944,292.534107269675,3,133.53571743277865,795.6027281036102
70000,387.92205659665416,37.92843052552846,3,345.00199703190054,430.8421161614078
80000,349.0050845698051,45.01452650526443,3,298.0663525390995,399.9438166005107
90000,332.88400157795326,37.10573775369892,3,290.89490652402094,374.8730966318856
100000,355.1121283003345,149.83758378706625,3,185.5549404053303,524.6693161953388
110000,314.81479204788894,48.23509704427613,3,260.23164137260386,369.397942723174
120000,472.8564137130297,166.31612749962704,3,284.65199818735755,661.0608292387019
130000,640.9365784465996,334.1615093840967,3,262.79723315098863,1019.0759237422105
140000,375.8054239095736,119.87417928227723,3,240.15502014165753,511.4558276774897
150000,500.6607923260481,329.9490143157075,3,127.28833394735835,874.0332507047378
160000,420.5700373406465,247.53342609151025,3,140.45959657341348,700.6804781078795
170000,423.251096394182,73.4476345833872,3,340.13727366198464,506.3649191263794
180000,452.80062586881155,138.77962526991934,3,295.7566960138698,609.8445557237533
190000,462.91978225405177,200.27845723108638,3,236.28337271136044,689.5561917967431
200000,264.6600423563405,237.17906091268844,3,-3.7333311852628412,533.0534158979439
210000,387.5562054762517,415.84577498863126,3,-83.0175879806157,858.1299989331192
220000,447.36667779586065,238.72457702580726,3,177.22438813212307,717.5089674595982
230000,619.5954178837927,571.4297330547106,3,-27.03819811230983,1266.2290338798953
240000,525.2736006557747,291.92955906845555,3,194.9242060111148,855.6229953004345
250000,518.6061772663674,137.07101079803115,3,363.4957267009861,673.7166278317486
260000,607.2250281147118,471.5822988765815,3,73.5794203998563,1140.8706358295672
270000,608.724907470633,341.2909611286745,3,222.51782804256533,994.9319868987006
280000,1009.8082408057916,266.92679123945766,3,707.7521414447847,1311.8643401667985
290000,687.8755887807552,312.41711759314705,3,334.3423391747283,1041.408838386782
300000,892.2637769281436,305.5187494822363,3,546.5367657062916,1237.9907881499955
