step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
33,47.155420628587784,0.3903292174602397,0.17933579365508412,119.02394300058258,0.0012762155383825302,-0.7061536312103271,-1.6410012245178223,4.95818377041274
49,10.899306858609025,0.49853516915676016,0.14041135777522068,97.66660947778583,1.001379359877319e-06,-0.6317048668861389,-1.6878199577331543,0.7294388216161133
71,14.317357681982319,0.5085442788715531,0.1376477976614509,81.41136726004889,3.0952930956118507e-06,-0.6850627064704895,-2.5285770893096924,0.8282933451620109
92,21.237358495979763,0.4510949422498271,0.15517797572918107,71.74463403892365,0.00017488797311671078,-0.6798893809318542,-2.005896806716919,1.6286779362027266
128,21.302183532714533,0.446312297224674,0.1568408498607018,61.26439540206322,0.00014644184557255358,-0.6937466859817505,-1.9128605127334595,-0.04763309116271919
150,16.180728079644883,0.4198746524124127,0.16671642262234979,56.70250756175677,0.00013494279119186103,-0.8144195079803467,-1.9956605434417725,1.4731034576619417
167,12.27175386033456,0.41086381381359405,0.170372755269605,53.76900076648754,1.4025772543391213e-05,-0.74977707862854,-1.8624920845031738,0.9511473805642718
177,7.710471777637952,0.40086781626099205,0.17462115231127778,52.17542050459861,0.0002616658166516572,-0.8238165378570557,-2.109741449356079,1.667810740452412
192,11.637092925725076,0.38816885288837677,0.18033389201407526,50.12028525939605,0.00024094244872685522,-0.8417282104492188,-2.1297054290771484,1.6197113322360064
207,15.343781252312299,0.3780291268333474,0.18517091681895512,48.337034935501244,0.003105160780251026,-0.9052706956863403,-2.067664384841919,3.5988022837461067
219,9.869524956648252,0.3687031051661006,0.18985465275228705,46.99640897412896,0.0006646292167715728,-0.9514603614807129,-2.1837940216064453,2.163046781976665
234,14.528814190637773,0.35785826590784026,0.1956081685647781,45.535627492886306,0.001998939784243703,-0.931326150894165,-1.909062147140503,2.9672014267129287
255,18.741517076639468,0.34503370092512137,0.20287873275077928,43.789746817577424,0.0008015103521756828,-0.9227655529975891,-1.9282622337341309,2.162495138001385
267,9.75175263475623,0.33779801325019543,0.20722442777706157,42.81130093278293,0.001241569989360869,-1.2471365928649902,-3.0956573486328125,2.7556321670522337
291,15.958339729166713,0.333936654979762,0.20962059407417347,41.16305866346239,1.5239696040225681e-05,-1.0485820770263672,-2.031613826751709,1.2092747176303964
307,6.979558590530001,0.3553959330674736,0.19696342441462372,40.10022060522687,0.0026618570555001497,-1.0835249423980713,-2.0710246562957764,-0.9853731223865972
319,9.739980256647566,0.34923309755758786,0.20043919230323565,39.35592866667981,0.002017345977947116,-1.1068867444992065,-2.132343292236328,2.8745533907048806
334,7.358654897635578,0.35889989567759745,0.19504045791888874,38.48115857500381,0.0011075789807364345,-1.1595559120178223,-1.938572883605957,-0.12110895770528263
366,22.416606755350855,0.35365317504276095,0.19793403520705324,36.99737363166638,0.0004101656377315521,-1.1304501295089722,-2.05769944190979,1.879741212123518
385,10.165345022751854,0.3536406710646771,0.19794103373137686,36.12056063822277,7.177303632488474e-05,-1.1151390075683594,-1.5426175594329834,0.809129434478891
410,15.374268150707469,0.35077679125530903,0.19955710225153203,35.10952266709676,0.00020337948808446527,-1.1625885963439941,-1.8356471061706543,1.6632897007774643
448,8.951722329385552,0.3900889350049169,0.1794462588361233,33.68646509299749,0.0027900284621864557,-1.3165218830108643,-1.9499669075012207,-0.46282146060443374
459,7.554321972989964,0.388306579228691,0.18026993037059488,33.28146376080775,0.0004220007685944438,-1.3094573020935059,-2.2269060611724854,0.6257675268606473
492,25.94173687065107,0.37667631352817815,0.1858359484947107,32.357004004207795,7.012396963546053e-05,-1.3749876022338867,-2.1728029251098633,1.645945333261612
515,14.071090966812697,0.3712230407965465,0.18856588171304914,31.692730543500325,3.865408507408574e-05,-1.4489006996154785,-2.061826229095459,1.2518593363097998
564,78.58105838397613,0.4483744508274428,0.15611951098199292,31.5767299199966,0.012454038485884666,-1.5933187007904053,-2.253187656402588,5.117208059030009
575,8.2604067329333,0.44473700350097245,0.15739639258474014,31.27311423826135,0.00020579197735060006,-1.503067970275879,-1.6357090473175049,1.0544410053792284
595,15.068354621535617,0.4388657519502032,0.1595020793692343,30.784647940315953,1.0823725460795686e-05,-1.6576893329620361,-2.2192540168762207,1.7589690348821518
615,19.08365960000832,0.43303495888777105,0.1616497665218336,30.341425526740384,0.0004082730447407812,-1.7014968395233154,-2.122588872909546,2.3145687627894698
633,8.219472321158726,0.4366812239966582,0.16029999952673873,29.920778908738615,0.0054864706471562386,-1.6023844480514526,-1.4143452644348145,-0.6138690831344372
644,6.112573573823858,0.43490621363827897,0.1609542420983218,29.66144631411407,0.0012367063900455832,-1.7352652549743652,-2.0599513053894043,0.6921659789340853
679,41.71476816745532,0.4359550782797874,0.16056700216960285,29.177310352368984,0.0009360972908325493,-1.9058294296264648,-2.5255632400512695,2.79852993087934
699,11.700743515239795,0.43585661640566553,0.16060327494225485,28.783373133698948,0.004056037403643131,-1.834453821182251,-1.849928855895996,0.001326517470219557
729,23.21935792110542,0.43124611512087774,0.16232030282841875,28.285883425207253,0.0015246536349877715,-1.959444522857666,-2.3054957389831543,0.8549710180918072
740,8.253757659562233,0.42935749068918944,0.16303430478792505,28.07747608724518,0.002049210947006941,-1.933449625968933,-1.933288335800171,0.6624324145981664
781,27.530134573333655,0.42224358416408053,0.1657810861438656,27.483146406490604,0.0007130368612706661,-2.014230489730835,-1.9442228078842163,1.2803549130955545
789,5.004712351360525,0.4206535572201801,0.16640772150503969,27.337417780275192,0.00030123451142571867,-2.0190587043762207,-1.9738655090332031,1.5445874194925453
801,7.195495909113688,0.41991001095492175,0.16670238425802775,27.13487245724056,0.0027245895471423864,-1.9939011335372925,-1.768370270729065,0.5775258181437353
811,8.11495354200463,0.4173653224552277,0.1677187735392395,26.969560583630564,1.454422999813687e-05,-2.1269147396087646,-2.360933780670166,2.2297682235073064
834,14.76327429300328,0.414078548616821,0.16905005157554404,26.63710928640774,0.0003586226957850158,-2.133923292160034,-1.93831205368042,1.629487332849991
861,9.963857880521362,0.4200751094962214,0.1666368666402256,26.246752307316562,0.005806294735521078,-2.2379379272460938,-2.2220535278320312,0.2379605260823331
878,11.153895526884078,0.4169409961302866,0.16788946313671266,26.01096309243739,0.00023402096121571958,-2.2608871459960938,-2.2466347217559814,1.862978244479682
921,61.10690773801464,0.4330284220388366,0.161652206731414,25.91445101866131,0.006275598891079426,-2.4124534130096436,-2.1527795791625977,4.465362317234367
934,11.324004259571073,0.4302108360074334,0.1627109178597968,25.74645328553084,4.921944309899118e-07,-2.335386276245117,-1.6002187728881836,2.317323375881733
951,14.302858920808179,0.42672562468413167,0.1640398325078673,25.542507547233058,0.0011923856800422072,-2.443938732147217,-1.841106653213501,1.5619319195272612
966,12.198943602984631,0.4235230551610172,0.16528025841093125,25.36143590866918,0.000535574450623244,-2.5080480575561523,-1.8648338317871094,1.9211215264463792
