step,mean,std,n,ci95_low,ci95_high
10000,-28.986871412863653,26.607278912157422,3,-59.095841911845234,1.1220990861179274
20000,-71.17980154331592,76.0742790517962,3,-157.26595230167996,14.906349215048124
30000,-146.681905695921,126.79995144271305,3,-290.1695584493374,-3.194252942504562
40000,-17.01892467632606,18.636831542840355,3,-38.10848490420321,4.070635551551092
50000,-92.74510377993862,80.72136100896998,3,-184.0899228153869,-1.400284744490321
60000,-91.7482658657146,114.94939598464532,3,-221.82575270695753,38.329220975528344
70000,-90.33197388899073,72.83068192685705,3,-172.7476489678312,-7.916298810150266
80000,-81.412230313074,102.21755918202332,3,-197.08228751998342,34.25782689383543
90000,-119.01096787908455,74.79468894184663,3,-203.6491261163623,-34.37280964180677
100000,-23.35166114374023,45.60796012919907,3,-74.96192653699453,28.258604249514065
110000,-48.82751243706358,38.08463187853328,3,-91.92433047249921,-5.73069440162795
120000,-25.512674208251607,64.23371184757954,3,-98.19996182769947,47.17461341119625
130000,-2.9745973097987437,21.527245785272733,3,-27.334969161914103,21.385774542316618
140000,-6.577519189347566,31.917601488210206,3,-42.69568537911408,29.540647000418947
150000,72.23626606088298,41.49239531507628,3,25.28320067609893,119.18933144566704
160000,34.04023795447675,41.24821058465911,3,-12.636506395424135,80.71698230437764
170000,21.516791764812975,18.970403828017293,3,0.04975896159925952,42.98382456802669
180000,0.09911653644297758,88.0003346111277,3,-99.48263654151998,99.68086961440594
190000,87.73906522779232,65.68857915808633,3,13.405440262966167,162.0726901926185
200000,152.3343765675653,158.47975903563156,3,-27.00235325147935,331.67110638660995
210000,192.93496769795215,163.66422092546205,3,7.73146696222139,378.1384684336829
220000,194.8881128473487,152.20107821635088,3,22.656379228192236,367.1198464665052
230000,17.153694132909845,118.85106419221248,3,-117.33894592059097,151.64633418641066
240000,205.0001066891124,48.41525727933269,3,150.2130855158213,259.78712786240357
250000,149.83486106232388,237.65582360667216,3,-119.09802025591316,418.7677423805609
260000,106.5729891501194,27.568708983411696,3,75.37605810666433,137.76992019357448
270000,43.917921835362165,53.350135841120114,3,-16.453440131418482,104.28928380214282
280000,235.02020992683367,260.02102357417687,3,-59.221277665971854,529.2616975196393
290000,303.15684877524313,209.86298788681606,3,65.67452177843398,540.6391757720523
300000,414.2578421218845,149.9095843939325,3,244.61917787015844,583.8965063736106
310000,364.763650834961,159.4288488030229,3,184.35292483984688,545.1743768300752
320000,518.7854807787666,113.0274265556553,3,390.8829070892388,646.6880544682944
330000,445.51462443843735,169.23179129759882,3,254.0108247266593,637.0184241502154
340000,533.0251581544475,28.982755352065126,3,500.2280830098786,565.8222332990164
350000,467.88947603849516,209.00370808035714,3,231.3795156797198,704.3994363972705
360000,579.540002613603,71.97721581836004,3,498.09011535423303,660.9898898729729
370000,402.0852269195484,349.97507646910594,3,6.0511458857159255,798.1193079533809
380000,600.1299777188136,97.7639198094457,3,489.4996878975413,710.7602675400859
390000,446.7416742887055,224.94050376546082,3,192.19753190345338,701.2858166739576
400000,426.14133823132687,211.7475125301654,3,186.52647084665853,665.7562056159952
410000,634.0398856314305,46.57802664717762,3,581.3318866342141,686.7478846286468
420000,534.1561418273267,48.36019938756184,3,479.43142452376,588.8808591308933
430000,590.156272735832,185.2825544570824,3,380.48932465963344,799.8232208120305
440000,729.9255030089129,27.972009453648504,3,698.2721945207489,761.5788114970768
450000,668.9863592393235,36.51897164781151,3,627.6612525409946,710.3114659376524
460000,489.61451525778085,360.01519571727175,3,82.21896974472446,897.0100607708373
470000,597.7865309837807,92.90195063389844,3,492.65807721860443,702.914984748957
480000,715.3153829461017,209.3518246083848,3,478.41149165184083,952.2192742403627
490000,775.3147983989785,112.89115808258751,3,647.5664270030819,903.0631697948751
500000,603.9423990800201,278.83342870039974,3,288.41267104630555,919.4721271137346
510000,782.8176474890188,55.04386315947447,3,720.5296526327942,845.1056423452434
520000,555.8345295935159,437.049427940526,3,61.26654404707193,1050.4025151399599
530000,797.7608166400797,34.567135046405035,3,758.6444209807338,836.8772122994257
540000,630.8995223513945,228.26952712390928,3,372.58823540315035,889.2108092996386
550000,240.6983356817368,192.0686074261877,3,23.352245768980197,458.0444255944934
560000,705.8558208563582,84.90837571865717,3,609.7729486442217,801.9386930684946
570000,547.842540446588,475.0385236969953,3,10.28584616405874,1085.3992347291173
580000,647.5842223695278,265.2436649841203,3,347.4327596658552,947.7356850732003
590000,843.8584140668718,232.96083210269273,3,580.2384157816191,1107.4784123521245
600000,293.4144995765963,221.312753554809,3,42.975543010262385,543.8534561429302
610000,937.7844186926285,37.18147022884869,3,895.7096242754644,979.8592131097926
620000,769.9414858719568,271.82841700794864,3,462.338674795416,1077.5442969484977
630000,621.1075094988518,264.1089174860838,3,322.24013447114834,919.9748845265551
640000,369.8377808369368,125.2967783963738,3,228.05112851488778,511.6244331589859
650000,900.4811564830653,314.3109898179029,3,544.8047887050423,1256.1575242610884
660000,648.1858801596032,382.8591795189867,3,214.93993345987099,1081.4318268593356
670000,650.077598770295,345.02756952440535,3,259.6421488904898,1040.5130486501002
680000,1063.518269982155,174.75202686913357,3,865.7677356636741,1261.268804300636
690000,849.4676443222114,175.77185849706808,3,650.563061876495,1048.372226767928
