step,mean,std,n,ci95_low,ci95_high
10000,-196.00968029498122,38.26937721589987,3,-239.31555736012672,-152.70380322983573
20000,-177.08828823308974,5.910289065869989,3,-183.7764099201001,-170.4001665460794
30000,-16.673515192237883,62.50999475165885,3,-87.41023329418606,54.063202909710284
40000,23.48899026468628,40.9161234176048,3,-22.811962079239883,69.78994260861245
50000,92.73647926151575,22.729440319677504,3,67.01569622680888,118.45726229622262
60000,159.18072002683658,77.7189730303105,3,71.23342282646216,247.128017227211
70000,179.69832146177723,95.17754372783013,3,71.99479169731983,287.4018512262346
80000,127.9604472131469,110.97961257750113,3,2.375193188632821,253.54570123766098
90000,212.5585960583002,105.26594088545323,3,93.43897021713751,331.67822189946287
100000,195.21232236860024,277.0035922789387,3,-118.24675082612745,508.6713955633279
110000,368.65036359268964,68.38625543129021,3,291.2640305477229,446.0366966376564
120000,456.07963590634444,55.02940398788442,3,393.8080031430749,518.3512686696139
130000,455.9754581362233,110.16366704816751,3,331.3135333988787,580.637382873568
140000,536.79726863394,50.36754186160868,3,479.8010294835898,593.7935077842902
150000,613.7682515826032,9.376453102331801,3,603.1577960461599,624.3787071190465
160000,488.13340740282155,199.11249436020285,3,262.8164090557749,713.4504057498682
170000,649.6499316670717,57.364472381146825,3,584.7359202675667,714.5639430665766
180000,729.5632746327556,63.165379512057875,3,658.0849188578427,801.0416304076684
190000,775.3307379521831,51.709365131523434,3,716.816082830696,833.8453930736702
200000,418.9519490232367,489.69807114862294,3,-135.19358484738734,973.0974828938607
210000,369.9540636375518,317.7638564587136,3,10.370409429814913,729.5377178452887
220000,408.2498909227122,268.78357716099566,3,104.09264049251544,712.407141352909
230000,567.8096856411743,156.34521566461265,3,390.88841903424486,744.7309522481037
240000,697.3100477223037,167.74435064019488,3,507.48944556787893,887.1306498767285
250000,403.23511729977525,604.4495410331548,3,-280.76392894521854,1087.234163544769
260000,787.5028344310048,111.0662866274046,3,661.8194994858454,913.1861693761641
270000,587.9439093161822,359.00762731833635,3,181.6885347803763,994.199283851988
280000,764.8651730000315,87.51136903705975,3,665.8367365574612,863.8936094426018
290000,897.2331507499631,47.584426582096334,3,843.3863030170048,951.0799984829214
300000,873.8494790376066,91.59950599196925,3,770.1948801310901,977.504077944123
310000,830.9421074288307,56.56056339323503,3,766.9378046876525,894.9464101700089
320000,947.6520919690414,97.45850721428764,3,837.3674090340648,1057.936774904018
330000,935.4399306298078,105.6236426413053,3,815.9155271467847,1054.9643341128308
340000,792.7899653322943,397.87327557610774,3,342.5539695281353,1243.0259611364531
350000,829.9268533988125,409.78813362669945,3,366.2079264490375,1293.6457803485873
360000,977.392472078859,61.46007347727821,3,907.8438517444783,1046.9410924132396
370000,1010.3671842746389,139.66912790486245,3,852.3166874316678,1168.41768111761
380000,749.6051730434687,428.45335358392794,3,264.7645613507864,1234.445784736151
390000,1015.0557852189464,38.83367938569838,3,971.1113401349115,1059.0002303029814
400000,1117.7398037469702,194.16569030136162,3,898.0206411637241,1337.4589663302163
410000,1141.8478501882073,279.1440005525208,3,825.9666770193401,1457.7290233570745
420000,1245.1289442253335,205.9248301060812,3,1012.1030622799685,1478.1548261706985
430000,1248.499775045079,186.15323182657835,3,1037.8475627741152,1459.151987316043
440000,1241.1326604607827,242.21686233976394,3,967.0384779394894,1515.226842982076
450000,855.1420262556667,685.6334395691138,3,79.27475049041846,1631.009302020915
460000,1045.6841813677117,279.35746179666995,3,729.5614540615733,1361.80690867385
470000,1076.4439278011423,144.41314969752838,3,913.0250649304585,1239.8627906718261
480000,1168.5424977116447,115.42325421370869,3,1037.9287898052312,1299.1562056180583
490000,1239.5693631629777,93.32603510702329,3,1133.9610126397545,1345.1777136862008
500000,923.4410073834619,270.27567898658435,3,617.5952847875676,1229.286729979356
510000,1164.254291164643,65.68198682504493,3,1089.9281261269186,1238.5804562023675
520000,1196.7344226710636,69.05556304826625,3,1118.5906967577466,1274.8781485843806
530000,1225.2437914201535,145.2932242460619,3,1060.829030445564,1389.6585523947429
540000,1215.4156184030642,120.1906596079162,3,1079.4070834327943,1351.424153373334
550000,1294.406847378121,93.04525875138832,3,1189.1162252117335,1399.6974695445085
560000,1238.829497120014,191.48192770284086,3,1022.147297811814,1455.5116964282138
570000,1315.4516908565554,201.79146344406732,3,1087.103153606938,1543.8002281061729
580000,1302.3185155556346,208.1954054858649,3,1066.723235689072,1537.9137954221972
590000,1394.8497705212887,152.85638075969732,3,1221.876492266521,1567.8230487760566
600000,1026.5225661078146,446.623747877316,3,521.1202176234565,1531.9249145921726
610000,1326.5096481616167,115.89051259216538,3,1195.3671876240603,1457.6521086991731
620000,1413.4785897425138,207.99425498244634,3,1178.1109330986521,1648.8462463863755
630000,1404.3411302413635,187.6361555113248,3,1192.0108318487905,1616.6714286339366
640000,1390.6757527319976,264.0502107756106,3,1091.8748106010803,1689.4766948629149
650000,1358.5263380497465,168.5239429840244,3,1167.8235441101683,1549.2291319893247
660000,1415.3875940917005,185.7628025644896,3,1205.177194122287,1625.5979940611142
670000,1406.808669357347,207.28491420827444,3,1172.2437073638393,1641.3736313508548
680000,1478.8885772933652,247.558926029131,3,1198.7492806302669,1759.0278739564635
690000,1421.1537204151548,334.09841736695245,3,1043.0857704579844,1799.2216703723252
700000,1239.6311547965922,463.17972847427075,3,715.4939505977081,1763.7683589954763
710000,1305.7830882456167,98.10994371611501,3,1194.7612355128476,1416.8049409783857
720000,1447.9252025390817,239.20466897703153,3,1177.2396376894849,1718.6107673886786
730000,1353.4068593433296,135.43978032927194,3,1200.1423198244354,1506.671398862224
740000,1459.0328057055478,229.28315267698267,3,1199.574493464892,1718.4911179462038
750000,1498.487888075064,336.3671163967967,3,1117.8526634865354,1879.1231126635923
760000,1506.4922129555862,311.1454572183175,3,1154.3979825306214,1858.586443380551
770000,1425.126084410839,219.87882502199645,3,1176.3097707323643,1673.9423980893137
780000,1506.2648708830618,400.58334501539355,3,1052.9621428111261,1959.5675989549975
790000,1471.0913501601917,301.6469368379682,3,1129.7457074002828,1812.4369929201007
800000,1376.5933990871292,210.40633389154206,3,1138.4962182046204,1614.690579969638
810000,1494.501873401742,303.2245932244638,3,1151.3709443765465,1837.6328024269374
820000,1543.8427275341576,276.8809985764202,3,1230.522382173444,1857.1630728948712
830000,1557.3161633868594,330.6097206678558,3,1183.196045387244,1931.4362813864748
840000,1516.6703929751438,347.64378973360664,3,1123.274411228937,1910.0663747213507
850000,1572.5814366408697,373.120712620022,3,1150.355602652936,1994.8072706288033
860000,1096.4872800449891,1000.1643486045134,3,-35.30522552034881,2228.279785610327
870000,481.42626682428516,872.995751320015,3,-506.4614239466949,1469.3139575952653
880000,1104.3379654486766,1099.343483308186,3,-139.68629635021375,2348.362227247567
890000,1115.9643191403313,756.9845011431596,3,259.35571634587086,1972.5729219347918
900000,1319.3804096546712,828.1703873349155,3,382.2173933717986,2256.543425937544
910000,1347.3747312836872,807.7728251129926,3,433.2937295585077,2261.4557330088664
920000,1383.3830856336426,741.4263783109343,3,544.3801561935124,2222.386015073773
930000,1331.4580642203457,687.7814188508071,3,553.1601210787587,2109.7560073619325
940000,1305.6774211203935,520.5317576933566,3,716.640286285417,1894.71455595537
950000,928.8039567953216,1136.2557870235466,3,-356.99050883705524,2214.5984224276986
960000,1102.994014085199,1071.642776759821,3,-109.68394736410619,2315.6719755345043
970000,1716.535149112222,614.1663169659145,3,1021.5405357943772,2411.5297624300665
980000,1686.933213381845,578.299338374543,3,1032.5259071637042,2341.340519599986
990000,1569.9836226565885,658.1520115122203,3,825.2145102686113,2314.7527350445657
1000000,1687.7263121338765,596.0521746017101,3,1013.2297805574525,2362.2228437103004
