step,mean,std,n,ci95_low,ci95_high
10000,134.74374593715848,19.875367817099235,3,112.25264997664615,157.2348418976708
20000,188.87167486596022,32.31234181780987,3,152.30681794250714,225.4365317894133
30000,171.14108581581522,33.846206577138794,3,132.84049751823204,209.4416741133984
40000,221.2377938538198,133.66585512607762,3,69.98063967435502,372.4949480332846
50000,190.4507672715213,170.56838107914405,3,-2.565526161792377,383.467060704835
60000,391.8342541507457,339.7117660152796,3,7.414202221368271,776.2543060801231
70000,359.02165346509923,159.00661808379746,3,179.08872650801877,538.9545804221797
80000,309.8553085794313,131.81207706738627,3,160.69590175192496,459.0147154069377
90000,799.0712563480539,407.08856222133494,3,338.4071820223432,1259.7353306737646
100000,467.64510087724375,218.9929904148026,3,219.831203422654,715.4589983318335
110000,282.7546863118054,66.83198392077317,3,207.12717705382056,358.38219556979027
120000,339.46488639449484,51.91982086232922,3,280.71207819425473,398.21769459473495
130000,422.4438312298439,159.2111320212708,3,242.27947496613103,602.6081874935568
140000,612.5705151783635,386.18806129610107,3,175.55758413000115,1049.5834462267258
150000,459.5527452289205,140.0661405826235,3,301.0529862482504,618.0525042095906
160000,531.4078462300553,264.7443957808669,3,231.82135981581973,830.9943326442908
170000,543.038293231732,271.7430468359393,3,235.5320875991003,850.5444988643637
180000,219.4585094591206,225.74482785935163,3,-35.9958113210937,474.9128302393349
190000,278.94717011804306,167.98963301442836,3,88.8490048278276,469.04533540825855
200000,551.3545733170783,446.53637832259363,3,46.05109279115874,1056.658053842998
210000,584.5214813255515,435.9407638508038,3,91.20806729996582,1077.8348953511372
220000,323.52105626237625,267.40023314450116,3,20.929206951177264,626.1129055735753
230000,339.6020518037498,143.2313480844702,3,177.5205233527446,501.68358025475504
240000,494.89951451021597,322.34029511339025,3,130.13713244763255,859.6618965727994
250000,375.4565033500053,132.3704015650153,3,225.66529287645642,525.2477138235541
260000,615.9820978300569,394.75525264304594,3,169.27447713019353,1062.6897185299204
270000,544.7883634731293,443.8680826310765,3,42.5043437693285,1047.07238317693
280000,596.0842800008986,352.26463751622026,3,197.45931674078622,994.709243261011
290000,783.4597228092458,272.7497253872421,3,474.81435315675316,1092.1050924617384
300000,598.8663510462419,393.6060185231394,3,153.45921117821877,1044.273490914265
310000,733.159595622424,400.5569486987486,3,279.88673779470867,1186.4324534501393
320000,443.2625101561284,98.86390562160132,3,331.38746920954065,555.1375511027162
330000,872.0752220576043,288.2861740044086,3,545.8487057340227,1198.3017383811857
340000,602.3973669686573,406.7569522662412,3,142.1085446327516,1062.686189304563
350000,638.548104419824,356.29488826591455,3,235.3624831034457,1041.7337257362024
360000,690.5082275208174,418.49615393616347,3,216.93524794627797,1164.0812070953568
370000,427.87106186410807,89.98496872136285,3,326.0434838720822,529.6986398561339
380000,708.0463928860348,478.98110898758136,3,166.0282433530126,1250.064542419057
390000,1183.7582604423148,123.78170760797585,3,1043.6860721142107,1323.830448770419
400000,571.1422668116546,270.92297975373555,3,264.5640544423241,877.7204791809852
410000,628.2271555559032,283.0548479670285,3,307.92044192428597,948.5338691875204
420000,723.2717661845487,286.30995645992664,3,399.2815505342837,1047.2619818348137
430000,539.6681948397267,365.9394095696279,3,125.56877026037654,953.7676194190767
440000,467.20889374001325,199.24358667244707,3,241.7435504767113,692.6742370033152
450000,654.5962014903336,288.0289400354483,3,328.660772805151,980.531630175516
460000,440.326865490628,69.02828404883174,3,362.2140086711377,518.4397223101182
470000,707.8736653635402,305.2315758638267,3,362.4716216828383,1053.2757090442421
480000,667.599511165236,163.49097190143902,3,482.59206015599204,852.6069621744799
490000,1010.3711580548969,500.5427863484409,3,443.95367367406936,1576.7886424357243
500000,525.9507003639109,178.6766898610921,3,323.7589917850538,728.1424089427679
510000,637.7998274349354,289.18286864988676,3,310.5586055972564,965.0410492726144
520000,770.7516358157278,173.97416462516836,3,573.8813354901006,967.621936141355
530000,563.2303912465718,198.97408493692043,3,338.07001790639447,788.3907645867491
540000,784.9170162475051,244.238565621876,3,508.53506109527984,1061.2989713997304
550000,716.9127684974409,170.88985014783958,3,523.5326985675661,910.2928384273157
560000,1110.5311507474835,63.138772106711684,3,1039.0829040861431,1181.9793974088238
570000,1186.6794156742014,172.23229394467637,3,991.7802275808743,1381.5786037675284
580000,836.7841721216391,166.26264499329494,3,648.6402777492455,1024.928066494033
590000,976.5751611413547,610.7681825181764,3,285.42589894627235,1667.724423336437
600000,1588.0907373042312,1115.8011489726687,3,325.44287361016177,2850.7386009983006
610000,832.3181343238065,80.08250927166712,3,741.6962440844661,922.9400245631468
620000,828.3865303757229,181.08358481007474,3,623.4711637613216,1033.3018969901243
630000,934.4698748898586,268.22788956414564,3,630.9414441715702,1237.998305608147
640000,703.2392042563164,215.1858103763737,3,459.7335365850056,946.7448719276272
650000,671.961413673586,417.7974105163971,3,199.17913671397986,1144.743690633192
660000,599.513278990475,132.33430241742136,3,449.76291854798467,749.2636394329653
670000,540.004256777445,189.74073015981648,3,325.29240797479287,754.7161055800971
680000,1654.1311082287991,1170.6284915257047,3,329.44026581011303,2978.821950647485
690000,1285.7719006109508,228.53403893820405,3,1027.1612903670202,1544.3825108548813
700000,724.7285915115111,343.7738677274764,3,335.7118387687892,1113.745344254233
710000,1064.6012331922466,519.7996927882153,3,476.39250778256314,1652.80995860193
720000,1568.3926339398058,1132.8182540939258,3,286.48810300946775,2850.297164870144
730000,1029.632070773292,160.5580180381323,3,847.9435695009499,1211.3205720456342
740000,1130.8492189146598,263.6915063662707,3,832.4541890348346,1429.244248794485
750000,2143.54061385077,1080.111937404149,3,921.2788949329513,3365.8023327685887
760000,753.2554462140607,460.884368714777,3,231.71568610223687,1274.7952063258845
770000,675.8726449424474,224.17714951045383,3,422.1923192150414,929.5529706698535
780000,2094.1678644768854,1083.4741386291832,3,868.1014567056739,3320.234272248097
790000,1125.6513726822304,944.7640266741741,3,56.55023304505244,2194.752512319408
800000,2121.6540384942127,1186.5499532646538,3,778.9463660426125,3464.361710945813
810000,1083.0242018582455,888.430853402236,3,77.67004881667174,2088.3783548998194
820000,1212.4965965408858,461.4174686178251,3,690.3535770989037,1734.6396159828678
830000,903.3136280242603,224.96378967624352,3,648.7431351503651,1157.8841208981555
840000,896.4367953062423,123.26390950706892,3,756.9505506891094,1035.9230399233752
850000,1364.087686959864,443.4648418764324,3,862.2599771262176,1865.9153967935104
860000,1382.939015308637,819.0245712120427,3,456.1254642507432,2309.7525663665306
870000,1037.8562747035319,234.74561812634943,3,772.2166009035193,1303.4959485035445
880000,1813.1539442930698,967.0265296888881,3,718.8604109234668,2907.447477662673
890000,1491.384852539815,1190.0873376915754,3,144.67425278003861,2838.0954522995917
900000,787.9683716814624,259.13863441026075,3,494.7254014264381,1081.2113419364866
910000,620.4765549771977,396.0254095142331,3,172.33161647080806,1068.6214934835873
920000,797.3119233868027,77.65232388569551,3,709.4400467935344,885.1837999800711
930000,1209.7053650900252,431.56068182517765,3,721.3484804761126,1698.0622497039378
940000,750.6206093341062,183.27635420052945,3,543.2238905639192,958.0173281042933
950000,530.9029451683322,138.82375678367754,3,373.80907580434825,687.9968145323161
960000,1396.4276285001613,1055.713668056413,3,201.7751504386681,2591.0801065616542
970000,913.4245323931545,522.1870279873372,3,322.51428288854777,1504.3347818977613
980000,851.5024707236413,190.07802662510792,3,636.408935039125,1066.5960064081576
990000,1303.9037774715541,399.40477208124724,3,851.9347302251649,1755.8728247179433
1000000,777.216913755904,148.13951403102027,3,609.5812726811814,944.8525548306266
