step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
171,-27.21344752940744,1.0,0.07,2.9351357775379934,0.510630190372467,-0.9250038862228394,-6.604082107543945,-1.1723969740809397
182,4.1645528025831045,1.0,0.07,2.9115675165452117,0.004328741226345301,-0.7363954782485962,-5.494105339050293,0.5448341999528825
283,-35.31907520110853,1.0,0.07,2.418833805751512,0.16867174208164215,-0.5996553301811218,-5.373450756072998,-0.3937515384071986
352,-40.19705447785993,1.0,0.07,2.3317235440372355,0.15107814967632294,-0.8464888334274292,-5.624152183532715,1.7528011054722936
374,-16.863421705241695,1.0,0.07,2.3084722553272736,0.025193514302372932,-0.8991090655326843,-6.184464454650879,1.2655205167897297
425,-65.27826398415871,1.0,0.07,3.12276461943291,0.05672452226281166,-0.40814897418022156,-5.221414566040039,-0.3355970350263177
568,-76.77037504205794,1.0,0.07,2.9035216416151943,1.640519440115895e-05,-0.5150254368782043,-5.715940475463867,0.5032651754469553
796,-72.22848717774605,1.0,0.07,2.5472269529402043,0.006865121424198151,-0.7017906308174133,-5.497712135314941,0.9128437134165535
912,-35.55139842119685,1.0,0.07,2.4167005293332955,0.1759127825498581,-0.70201575756073,-5.027985095977783,-0.3115957309317932
924,-13.57224807626781,1.0,0.07,2.420756713943474,0.8417009711265564,0.16791698336601257,-5.296226501464844,-2.388822514640659
979,19.981439798536222,1.0,0.07,2.690596503488897,0.0028328937478363514,-0.8507636785507202,-5.763242244720459,0.7075568209485599
1014,-17.687195184658453,1.0,0.07,2.649212558412397,0.06540796905755997,-0.4624723792076111,-5.713292121887207,-0.2150633318618536
1256,-94.04159222760605,1.0,0.07,2.4057564004484435,0.1421540528535843,-0.25039008259773254,-4.996480464935303,-0.6566601155901449
1367,18.53774956421227,1.0,0.07,2.8175914588216475,0.5914597511291504,-0.7225507497787476,-4.962084770202637,-1.4443578293023525
1502,-31.68029494601835,1.0,0.07,2.744925211584045,0.014115700498223305,-1.0156267881393433,-5.157024383544922,0.6895035533042255
1765,-15.293903671569112,1.0,0.07,3.1886007585542613,0.16266044974327087,-1.412794589996338,-5.0605573654174805,0.12679407191369196
1851,30.75195203617521,1.0,0.07,3.4425766081192286,0.23613765835762024,-0.10978609323501587,-5.818310737609863,-1.5630995661786846
1881,0.4244627659912257,1.0,0.07,3.4256212104128374,0.17881707847118378,0.1630035936832428,-3.0954599380493164,-1.6115881535922174
1904,0.5574738755060671,1.0,0.07,3.412134761245206,0.11862599104642868,0.3509516716003418,-6.33261775970459,-1.5261633988459296
1931,3.1618936273372933,1.0,0.07,3.4017227847111586,0.0004719155258499086,-1.7674354314804077,-5.491229057312012,1.8413331035964149
2031,10.79820184462087,1.0,0.07,3.4778227611932695,0.06576365232467651,-1.6016720533370972,-4.961170673370361,0.7098044509840177
2071,-1.6175496843860762,1.0,0.07,3.4575896182788397,0.12070869654417038,-1.736713171005249,-4.316393852233887,0.5354373517027224
3071,-406.77435075824087,1.0,0.07,2.8699460960804513,0.19983121752738953,-0.29339849948883057,-5.110072612762451,-0.3505295930879813
3185,-38.2182202901109,1.0,0.07,2.9014105308847067,0.15248093008995056,0.7073222398757935,-5.003812789916992,-1.8402884922206102
3397,-53.74321360946652,1.0,0.07,2.8356016947288856,0.02483832836151123,-0.14970853924751282,-4.285192012786865,-0.29718740807564165
3554,-147.3279088623962,1.0,0.07,3.1644136819811823,0.05958341434597969,1.0820964574813843,-5.3798508644104,-1.854520809096162
3612,0.7115480993990091,1.0,0.07,3.16010216008155,0.010620363987982273,-0.15940850973129272,-5.14387321472168,0.48507330152091266
