step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
12,9.391402235027835,1.0,0.07,3.044656515236314,0.028940236195921898,-0.3721877932548523,-2.3823752403259277,0.8901395772831577
51,28.883095149906868,1.0,0.07,4.864963089399635,0.0070202467031776905,-0.6451689004898071,-2.459244728088379,0.2375487255839463
64,10.016560144004135,1.0,0.07,4.55338441777967,0.0013423666823655367,-0.6103625893592834,-2.135911703109741,0.44353420748307326
76,8.52074595907525,1.0,0.07,4.317170762821276,0.0018903851741924882,-0.65715092420578,-2.352928638458252,0.46944657200993206
96,22.898703306929328,1.0,0.07,4.605225456928166,0.04941441863775253,-0.5812243819236755,-2.017475128173828,1.604936262385936
115,11.316126182722472,1.0,0.07,4.395100765936005,0.02279409021139145,-0.6578885316848755,-1.708409309387207,-0.005671123692263497
159,66.63135115370396,1.0,0.07,6.734907675341969,0.0213912483304739,-0.6372891664505005,-1.8185670375823975,1.6223197573177852
177,16.27189019806517,1.0,0.07,6.523014349676236,4.0985749365063384e-05,-0.6691923141479492,-1.8602373600006104,0.6274319139778299
198,15.966070268408082,1.0,0.07,6.302435346717711,0.0009068281506188214,-0.6646360158920288,-1.7464932203292847,0.8544249284443244
214,10.182297552952026,1.0,0.07,6.114011853085157,0.003434224287047982,-0.6672771573066711,-1.7414714097976685,0.3089822811639207
223,6.802002531585583,1.0,0.07,6.003953339152217,0.0007617869996465743,-0.7283102869987488,-2.331355094909668,0.8940223436838781
240,12.864075482232593,1.0,0.07,5.863106539940162,0.003047553589567542,-0.63655024766922,-1.5957088470458984,0.3128794517876996
251,5.5840938708254475,1.0,0.07,5.744885668996806,0.01757574826478958,-0.7183336615562439,-2.039234161376953,-0.04328623623757083
276,20.746122768603055,1.0,0.07,5.660053531275245,3.4111002378267585e-07,-0.688858151435852,-2.046731948852539,0.6855524498763674
345,99.47462055692198,1.0,0.07,7.640705995666201,0.009046203456819057,-0.7791439890861511,-2.1623430252075195,1.5058631789779018
356,6.2560161993140975,1.0,0.07,7.527038841242765,0.0030295620672404766,-0.7512639760971069,-2.146131992340088,0.3369647768157966
367,7.580476148396596,1.0,0.07,7.423162823471813,0.00016799771401565522,-0.7529959678649902,-2.1691744327545166,0.656781399992959
377,6.304014887902409,1.0,0.07,7.328899537641227,0.0008384640677832067,-0.7543948888778687,-1.936964988708496,0.5421775280291963
396,18.215514117606425,1.0,0.07,7.220955412185308,1.9815248379018158e-05,-0.7808558940887451,-2.1255712509155273,0.8129994437204808
407,9.350552203335575,1.0,0.07,7.137216656073959,0.0007458415348082781,-0.8045933246612549,-2.273242473602295,0.9995114377220047
425,20.125614963601045,1.0,0.07,7.06370980202961,0.011450529098510742,-0.8199250102043152,-1.859480857849121,1.5757924429339296
440,13.27456947231178,1.0,0.07,6.976472723255901,0.00011940374679397792,-0.783767580986023,-1.5025992393493652,0.8600009106636335
455,12.794184135275044,1.0,0.07,6.891806755814914,0.0005216057179495692,-0.7479775547981262,-1.4779269695281982,0.5905777137017445
471,15.953837899813314,1.0,0.07,6.821146906802053,0.00473162904381752,-0.8304320573806763,-2.126032829284668,1.2996371627090146
482,8.72945361261067,1.0,0.07,6.754735560355885,5.2505194616969675e-05,-0.7913776636123657,-1.401456356048584,0.8403228316854293
498,10.550540550130608,1.0,0.07,6.66776906437825,0.012606329284608364,-0.8180296421051025,-1.9746932983398438,0.06938648739421005
521,25.412087182588706,1.0,0.07,6.631785293719451,0.0037767752073705196,-0.8257049322128296,-2.0238466262817383,1.2332644730458457
534,5.508723936379097,1.0,0.07,6.556320807202719,0.013012377545237541,-0.828229546546936,-2.086644172668457,0.0803381685476555
562,32.53425561465306,1.0,0.07,6.564457745645042,0.006663735490292311,-0.8452634811401367,-1.9019557237625122,1.3811313206356524
573,7.3944662556784735,1.0,0.07,6.508446312886426,0.001347374520264566,-0.9086612462997437,-2.202486515045166,0.6697582737179395
585,10.479923149156848,1.0,0.07,6.457449807641649,0.0011990981874987483,-0.8636941313743591,-1.5460305213928223,1.0873027121038752
621,9.242681035744035,1.0,0.07,6.2996047435997635,0.04537500441074371,-0.9025381803512573,-1.9265937805175781,-0.4393664883576859
647,26.428466999438545,1.0,0.07,6.277859921692339,0.00032547954469919205,-0.8592926263809204,-2.0646843910217285,0.746033452281981
660,6.7440275396216975,1.0,0.07,6.222710436551146,0.01687910407781601,-0.8798523545265198,-1.9466500282287598,0.07140023732441414
674,10.886909232353199,1.0,0.07,6.175106477154283,0.0006716926000081003,-0.9382340908050537,-2.0454261302948,0.7781936711091743
688,12.421781314083196,1.0,0.07,6.133278027815016,5.713509381166659e-05,-0.9296256303787231,-2.0131683349609375,0.8832655688153417
703,13.418951320525125,1.0,0.07,6.0930093048932505,0.0011534617515280843,-0.8833696842193604,-1.8900046348571777,1.0903044712003567
