step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
18,0.4584603389783432,1.0,0.07,1.3510447410362514,0.06517688184976578,-0.5168468952178955,-3.790254592895508,0.17192829768929413
33,2.111070039744859,1.0,0.07,1.4631852338806663,0.0037521759513765574,-0.5072202682495117,-4.301316261291504,0.41759285025401394
58,-1.3621420669477518,1.0,0.07,1.3554223135617707,0.06437795609235764,-0.6024630069732666,-3.289257049560547,0.2585542573740949
100,15.60578639121031,1.0,0.07,2.901879883769676,0.008641578257083893,-0.7238966822624207,-4.4720611572265625,0.4541376860571717
117,-1.7466677202406788,1.0,0.07,2.7028090141390866,0.037415653467178345,-0.7046449184417725,-4.145390510559082,0.18183714548862173
129,0.6224817524047277,1.0,0.07,2.596087854202709,0.023941222578287125,-0.7478437423706055,-5.031856536865234,0.3461522895972364
161,5.316306575361335,1.0,0.07,2.5843849504600205,0.23224209249019623,-0.6287620067596436,-2.9427566528320312,-0.6166919395968883
172,-4.044061012317297,1.0,0.07,2.5054406291574383,0.11670772731304169,-0.6588311195373535,-4.279274940490723,-0.19709042325150128
183,-2.7839470980489938,1.0,0.07,2.4313649673966213,0.07697626948356628,-0.6611292958259583,-3.646949529647827,-0.013443097877725851
215,6.333815223102048,1.0,0.07,2.4861646250145086,0.17130059003829956,-0.6877204179763794,-4.1864447593688965,-0.3412651522694681
254,20.925028736531893,1.0,0.07,3.004610381673218,0.03618577495217323,-0.778692364692688,-3.914748191833496,1.3502460889368775
271,0.4275107904155016,1.0,0.07,2.9261518540388,0.07176387310028076,-0.7531695365905762,-3.8900649547576904,-0.030710779936498622
284,-7.065371918018125,1.0,0.07,2.870075012938764,0.1973380297422409,-0.6963666677474976,-3.6740314960479736,-0.5785994666165862
308,9.001059804612693,1.0,0.07,2.8945338473733564,0.025749241933226585,-0.7745596170425415,-3.885443687438965,1.2390330338490247
324,-5.1287956821327185,1.0,0.07,2.825440966746674,0.1098392978310585,-0.6626884937286377,-3.4325766563415527,-0.27371947747913944
347,-7.720225074176626,1.0,0.07,2.737041017118102,0.13410283625125885,-0.7338588833808899,-3.7225019931793213,-0.2684469501124529
362,3.451036147027213,1.0,0.07,2.7073114478415947,0.015040936879813671,-0.657828688621521,-3.460050582885742,0.32579994849697147
381,8.82559504077181,1.0,0.07,2.7340115220286734,0.056942183524370193,-0.8220359086990356,-5.704179763793945,0.16963076962610565
398,8.078437451864552,1.0,0.07,2.7468843112982197,0.0005278740427456796,-0.7505962252616882,-3.918455123901367,0.6874851359814371
410,3.0290041304989326,1.0,0.07,2.7229515769760195,0.0052123162895441055,-0.8006104826927185,-3.9243783950805664,0.6040232592762101
435,-2.8600147695118308,1.0,0.07,2.655094472146793,0.1428263634443283,-0.6931915283203125,-3.7210090160369873,-0.31023169229043407
473,13.555597715802463,1.0,0.07,2.766121733515582,0.01119127869606018,-0.8989554643630981,-3.9804954528808594,0.6063306037754121
506,4.384471453870836,1.0,0.07,2.740607034188093,0.04230127111077309,-0.8083935976028442,-3.7326314449310303,0.24472543967794264
523,2.2991625374679807,1.0,0.07,2.714108346901204,0.1015227884054184,-0.8531560897827148,-4.078521251678467,-0.011630529822505842
541,-1.4689348793607662,1.0,0.07,2.674195131264548,0.01864149421453476,-0.8395035266876221,-3.7646591663360596,0.47438539718676814
567,-2.6324774185986826,1.0,0.07,2.6227259463390906,0.1235138550400734,-0.8200296759605408,-4.545125961303711,-0.1017152965100297
603,34.16254010895291,1.0,0.07,3.094142352223094,0.007179622072726488,-0.8771852850914001,-3.0405163764953613,1.1393601697013425
622,-2.0610230511655887,1.0,0.07,3.0521504086380262,0.11899290233850479,-0.6350456476211548,-3.7064075469970703,-0.4178042073010164
637,-1.1834127532200336,1.0,0.07,3.018241357126219,0.050065185874700546,-0.7260462045669556,-4.306280136108398,0.05070716094671607
676,11.122558975998869,1.0,0.07,3.047417274083156,0.012174432165920734,-1.0575170516967773,-4.074556350708008,0.7212717742978483
