step,mean,std,n,ci95_low,ci95_high
10000,-71.68379866322961,20.19007624519441,3,-94.53102073526884,-48.83657659119037
20000,-46.16914066220986,18.18938279292349,3,-66.7523649639094,-25.585916360510318
30000,-13.270353003564168,19.08253251553574,3,-34.86427136150628,8.323565354377951
40000,-138.44428555860551,79.50793037671869,3,-228.4159785697943,-48.472592547416724
50000,-153.3944778984332,160.03783055278788,3,-334.4943316167778,27.70537581991138
60000,19.886966827268985,31.832697886762215,3,-16.135121892881237,55.90905554741921
70000,-56.23394351450562,142.1825804787776,3,-217.12867969696146,104.6607926679502
80000,20.189632558890853,59.162596033533184,3,-46.7591473031074,87.1384124208891
90000,-57.09569067196125,59.91336228628269,3,-124.89404252628138,10.70266118235888
100000,-78.47609001052281,111.2686616282153,3,-204.388433827625,47.43625380657937
110000,-34.0330879966424,64.0744859480327,3,-106.54019454879821,38.4740185555134
120000,7.0435380109502645,51.3714686594307,3,-51.08875125705966,65.17582727896018
130000,18.106815087277727,82.77586893334473,3,-75.56289852642293,111.77652870097837
140000,76.95499462956049,29.759737383018432,3,43.27868154692789,110.63130771219309
150000,110.64497882134658,20.466278977013967,3,87.48520393503615,133.804753707657
160000,78.42180798786319,48.541785697610095,3,23.491606430520967,133.35200954520542
170000,89.40582276350506,73.86116625364171,3,5.8240448938735625,172.98760063313654
180000,76.26545146456742,64.87306648683753,3,2.854665961876421,149.67623696725843
190000,166.37030270752942,48.18476547099168,3,111.844107569118,220.89649784594084
200000,224.03523079606586,102.33982501789242,3,108.22681677118305,339.84364482094867
210000,248.3396610993948,171.4544945452916,3,54.32063588358395,442.35868631520566
220000,367.8016677503471,35.86305908070985,3,327.218795994493,408.38453950620124
230000,229.8210194962876,77.3183301044174,3,142.32709244609524,317.31494654648
240000,355.02282817950874,84.18719616991336,3,259.7560474523109,450.2896089067066
250000,551.1550378521567,84.64409840051164,3,455.37122357833357,646.9388521259799
260000,471.7995249652345,11.96719305012707,3,458.25737119252176,485.3416787379473
270000,363.15779733591086,164.35483499093837,3,177.17279321562665,549.142801456195
280000,611.2701627243546,61.490184503930145,3,541.6874685556614,680.8528568930477
290000,463.1128763162851,271.98316893649053,3,155.33494694724573,770.8908056853245
300000,632.9806195512392,11.68807319645963,3,619.7543196269226,646.2069194755559
310000,587.058924953488,130.85979569307258,3,438.97712594527803,735.1407239616981
320000,628.0713205062635,84.70117195223666,3,532.2229214287543,723.9197195837728
330000,598.8101092783277,305.0366615537892,3,253.62863190318916,943.9915866534661
340000,458.17686502070893,318.7313477948217,3,97.49839130162434,818.8553387397935
350000,620.3503879683993,135.8875222989853,3,466.5791807138917,774.121595222907
360000,466.1941002839878,53.34219087969836,3,405.8317288874136,526.5564716805619
370000,412.5258446261382,330.43074590844077,3,38.60825563255469,786.4434336197218
380000,519.5783953243919,424.2942340751251,3,39.44427041698793,999.7125202317958
390000,719.2858367846802,129.56069445013827,3,572.6741092230031,865.8975643463573
400000,468.6400082871869,274.8878915986129,3,157.57507579278837,779.7049407815855
410000,402.5686435423313,282.65814298142703,3,82.71084386195673,722.4264432227059
420000,705.1076718526729,188.83846718691103,3,491.41682971978287,918.7985139855629
430000,199.65749469742596,148.10659100081472,3,32.05910953859271,367.2558798562592
440000,743.3934290648336,287.0583802076697,3,418.55629221620296,1068.2305659134643
450000,770.5419659780409,281.8877283017921,3,451.55597257810905,1089.5279593779728
460000,971.7448257504201,68.06724971791093,3,894.7194816530587,1048.7701698477815
470000,852.1815304068588,257.91646519987444,3,560.3215748081536,1144.041486005564
480000,501.9266441249038,292.5909832662726,3,170.82877754047388,833.0245107093338
490000,456.4288277636865,394.3347203473151,3,10.197084154743663,902.6605713726294
500000,639.2524842184595,467.6686188477407,3,110.03562237122367,1168.4693460656954
510000,954.6119960474057,268.965476079259,3,650.2489076139366,1258.9750844808748
520000,765.6543642312449,333.9813894452445,3,387.7188438341921,1143.5898846282978
530000,799.8053684705557,594.4708615668976,3,127.09826104652302,1472.5124758945883
540000,695.2479832808125,413.74072629082247,3,227.05627667132592,1163.4396898902992
550000,666.1807609266142,493.6063022267308,3,107.6126472565885,1224.7488745966398
560000,984.9157534245154,176.25842459169797,3,785.4605696100012,1184.3709372390294
570000,520.6624800785213,473.8761371974798,3,-15.578850053548535,1056.903810210591
580000,1013.0044303933282,296.8773763232456,3,677.0560534457184,1348.952807340938
