step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,-179.1847597846013,1.0,0.07,0.583240141030426,0.07824201881885529,-0.8900856375694275,-1.6031088829040527,-0.5208563640767885
2000,-143.80356065522747,1.0,0.07,0.5452172534877,0.5151802897453308,-5.047797679901123,-2.258584976196289,-0.5325877546339849
3000,-255.74993792196432,1.0,0.07,0.5498771315691318,0.28387781977653503,-0.9022701978683472,-3.365398406982422,0.08035420043109581
4000,-226.3825828103483,1.0,0.07,0.5465966172931367,0.3071521818637848,0.019976899027824402,-2.970829486846924,-0.43673224043588904
5000,-251.82529108616015,1.0,0.07,0.5478449794875256,1.6159954071044922,2.544940710067749,-5.072569370269775,0.7467636593669009
6000,-160.99865051060365,1.0,0.07,0.5441001263521399,0.0243200846016407,-1.6757898330688477,-3.453751564025879,-0.025126849664569573
7000,-257.9583690987899,1.0,0.07,0.5398532781105789,0.6848388910293579,0.7451897859573364,-4.4589104652404785,0.148210073913626
8000,-228.31336716792714,1.0,0.07,0.5383842286806586,0.9574970006942749,0.2415706217288971,-3.792694330215454,0.060272677682668696
9000,-238.62705743575412,1.0,0.07,0.545737282826612,0.05824383720755577,-0.8287286758422852,-5.293245792388916,0.38916528629420966
10000,-220.65185398759562,1.0,0.07,0.5504979085920041,0.1748080551624298,0.20481568574905396,-4.093775749206543,0.08848878059692974
11000,-221.43406984627268,1.0,0.07,0.5500707891975964,0.0003041734453290701,-0.1250881552696228,-6.404306888580322,1.0916065114069013
12000,-224.20788415390433,1.0,0.07,0.5532757696327106,0.152181476354599,1.2373409271240234,-3.402519464492798,0.9272776259616078
13000,-196.02115490250722,1.0,0.07,0.5526289909719091,1.384935975074768,1.2992221117019653,-3.84134840965271,-0.12332766081963609
14000,-253.86789651143465,1.0,0.07,0.5505326094233861,1.9631881713867188,1.8619400262832642,-4.465238094329834,0.4129282625426324
15000,-210.37208174491101,1.0,0.07,0.5494189320702748,0.14334069192409515,1.2630308866500854,-2.377903938293457,-0.27820380872716866
16000,-238.0865043743397,1.0,0.07,0.5501830039518678,0.036770064383745193,-0.6740711331367493,-3.5169177055358887,0.6625388021752472
17000,-202.49102347820025,1.0,0.07,0.5516219152863208,1.7863028049468994,-3.0092320442199707,-3.9045796394348145,0.6380381150662469
18000,-205.21415371490295,1.0,0.07,0.5512456336258942,0.17778143286705017,0.20672716200351715,-3.4397881031036377,0.2065364444756168
19000,-203.4304458052319,1.0,0.07,0.5493191899400334,0.8920809626579285,0.46391138434410095,-3.2810401916503906,0.20393233078229045
20000,-196.49111046368475,1.0,0.07,0.5470478180055293,0.42828795313835144,-4.602566719055176,-4.418771743774414,0.555504335855182
21000,-198.43451714562127,1.0,0.07,0.5458594847150371,2.9932777881622314,-1.940077781677246,-4.626658916473389,0.501472048536703
22000,-63.691960639270434,1.0,0.07,0.5472990077511564,0.04724645987153053,-9.514081954956055,-6.346038818359375,-0.5549904068509233
23000,-138.28532136424653,1.0,0.07,0.5491789307641346,0.7231392860412598,-11.501176834106445,-6.596891403198242,0.8032725036600029
24000,-97.6321950273469,1.0,0.07,0.5527357038344003,0.08728814870119095,-10.37671184539795,-3.534586191177368,-0.02001911946261528
25000,-125.99879333222904,1.0,0.07,0.5533726547433632,0.21883362531661987,-8.12127685546875,-4.1667304039001465,0.07956520680372325
26000,22.238160463910592,1.0,0.07,0.5559603707359375,0.001126001589000225,-22.230335235595703,-1.4630746841430664,0.8124716949805943
27000,-39.3808564137235,1.0,0.07,0.5582421170824649,1.5375087261199951,-20.397377014160156,-4.4387125968933105,0.399528742610697
28000,26.996949362706093,1.0,0.07,0.5647761471658216,0.029448093846440315,-21.376209259033203,-2.515669584274292,0.8263469770314567
29000,73.9137394185715,1.0,0.07,0.5725454924470921,0.1911492645740509,-26.790203094482422,-0.17542171478271484,-0.7026896749044065
30000,41.611619946238356,1.0,0.07,0.5775182348693152,0.016166094690561295,-23.95216178894043,-1.049121618270874,-0.5748904223736033
31000,56.50408897290259,1.0,0.07,0.5824559647038536,1.2349010705947876,-23.058155059814453,-2.7367777824401855,-0.6142937355104513
32000,106.34212412931161,1.0,0.07,0.5886491487963073,5.023181438446045,-26.645954132080078,1.876612663269043,-0.42058411758771796
33000,-293.52391013922255,1.0,0.07,0.5880986175482763,2.039548873901367,6.558063507080078,-4.125632286071777,0.32413900163127385
34000,161.3598719587957,1.0,0.07,0.5932621477024949,6.102975368499756,-29.655176162719727,-6.692445755004883,-0.32893838911122886
35000,200.2917675816101,1.0,0.07,0.6028486696838924,0.11107855290174484,-38.25084686279297,-0.7472572326660156,1.165243870213963
36000,217.04740696014088,1.0,0.07,0.6108232143484044,0.17574523389339447,-36.19319152832031,-0.30253171920776367,-0.020746905610084812
37000,212.7652244442505,1.0,0.07,0.6178277976020904,1.8207370042800903,-37.8397102355957,-0.8396239280700684,1.25630693427509
38000,236.78418296733886,1.0,0.07,0.6250688622863755,1.1509402990341187,-42.61336135864258,0.29148149490356445,1.7852532621401331
39000,245.35641288364272,1.0,0.07,0.6314322025955106,0.4981931746006012,-39.29132080078125,-0.6915616989135742,0.6445642780453624
40000,297.87011020378685,1.0,0.07,0.6377364670329924,0.8525914549827576,-44.52670669555664,-0.6939229965209961,-0.9878725123039106
41000,286.16167099083384,1.0,0.07,0.6438072264251703,4.358428001403809,-42.069766998291016,-0.9161152839660645,-0.12049264647862513
42000,292.4489640426578,1.0,0.07,0.6495812303070096,0.16741511225700378,-44.61225891113281,-1.9738836288452148,0.03231379968140061
43000,291.3280731502574,1.0,0.07,0.65429491462302,0.006287107709795237,-45.3247184753418,-3.2660837173461914,0.28156167461726456
44000,173.37322893015218,1.0,0.07,0.6571867390243111,1.1855131387710571,-46.52865219116211,-0.8492441177368164,-0.273694199211588
45000,290.2900577504,1.0,0.07,0.6609665248282337,0.027386579662561417,-42.441585540771484,-0.7192122936248779,0.03430757293634484
46000,340.9664479783602,1.0,0.07,0.6654343852317032,3.1718392372131348,-46.13437271118164,-1.167783260345459,-0.39133327866392786
47000,361.2792394195269,1.0,0.07,0.6712717322392886,0.2746224105358124,-45.545677185058594,-4.058933258056641,0.051656579240605516
48000,347.7837817896707,1.0,0.07,0.6746949291451513,0.0059213596396148205,-48.74177169799805,-4.291588306427002,0.3960574978195541
49000,376.6059822197497,1.0,0.07,0.6784153530650291,2.9363298416137695,-49.04449462890625,0.4296565055847168,-0.3124680987503751
50000,390.2820314434301,1.0,0.07,0.6820550351475428,0.029036259278655052,-48.135009765625,-7.276111125946045,1.3392352108266243
51000,427.2753827736022,1.0,0.07,0.6859026997887383,7.445965766906738,-47.371307373046875,-0.19028162956237793,-0.3260208654401413
52000,410.73970434535914,1.0,0.07,0.6888853814506839,0.5573835968971252,-52.07471466064453,0.13628911972045898,1.214329520776912
53000,365.1222105055935,1.0,0.07,0.6911138998551605,1.8359471559524536,-49.97163009643555,0.23372840881347656,-0.535256335810626
54000,439.9342897591022,1.0,0.07,0.6959527970402463,1.466910719871521,-56.24085998535156,-5.840524673461914,0.49450735222984465
55000,474.9332173645275,1.0,0.07,0.7012697071841888,1.8622462749481201,-56.31096649169922,-4.542224884033203,0.04303935531845926
56000,486.211167029949,1.0,0.07,0.706579436378976,0.8379821181297302,-55.88794708251953,-1.431802749633789,-0.6357743799835998
57000,474.09153145024567,1.0,0.07,0.7116302141143273,1.7165920734405518,-60.717044830322266,-0.835914134979248,2.154502794004591
58000,468.4772391081459,1.0,0.07,0.7156216423528393,0.08985685557126999,-56.356239318847656,-0.20291376113891602,1.1493486756220455
59000,459.6978186429194,1.0,0.07,0.7192400189273134,0.005147252231836319,-61.68218994140625,-2.88759446144104,1.3500200790799124
60000,569.5472734340175,1.0,0.07,0.7244502198198635,0.06328288465738297,-65.59349060058594,-2.115981101989746,2.083962458508878
61000,549.3620844713811,1.0,0.07,0.7286278576075196,1.3358485698699951,-66.27172088623047,-0.4355902671813965,0.835459764831429
62000,587.0538199914904,1.0,0.07,0.7329768388834261,0.03495108336210251,-65.62760162353516,0.04962420463562012,0.9435121552895726
63000,641.6997283409129,1.0,0.07,0.7382238706658388,0.2622036635875702,-70.58301544189453,-0.43366241455078125,0.9229873766859475
64000,614.674322013947,1.0,0.07,0.744030199914442,0.8491795659065247,-62.892669677734375,2.238783359527588,-0.9189439102580673
65000,626.4737146310649,1.0,0.07,0.748288862215902,0.1584305465221405,-70.92247772216797,0.5735349655151367,1.6773222976365902
66000,632.5102495475703,1.0,0.07,0.7531034228225278,0.0326194129884243,-74.13340759277344,-0.05299496650695801,-0.5010849365908506
67000,656.7727908021996,1.0,0.07,0.7588047948538945,1.705341100692749,-76.35430908203125,-0.29878902435302734,-0.32346793927589146
68000,635.7031376230285,1.0,0.07,0.765023567279523,0.09362629055976868,-76.297119140625,0.2005007266998291,2.50519569617734
69000,680.694131313701,1.0,0.07,0.7711341342939735,0.0034805661998689175,-73.11027526855469,0.4468996524810791,1.0425026745590777
70000,716.1829325824285,1.0,0.07,0.7764340051858799,2.098720073699951,-76.97136688232422,1.9538931846618652,-0.11418297527725146
71000,717.8214232787886,1.0,0.07,0.7815619697692027,1.7464748620986938,-78.78338623046875,-0.9118726253509521,1.6831295079039863
72000,765.7295441743646,1.0,0.07,0.7859179268531366,0.00020669780496973544,-81.94229888916016,-0.9006342887878418,1.7091408974663875
73000,763.3383169997255,1.0,0.07,0.790873945156056,0.7460547685623169,-74.27340698242188,-3.87911319732666,0.5941125299305157
74000,662.3132457649028,1.0,0.07,0.7949709242333745,0.6286153197288513,-70.47757720947266,2.0360169410705566,-0.09878888209430103
75000,804.4560363100464,1.0,0.07,0.7996211251471973,0.12520112097263336,-79.68846130371094,-1.1786155700683594,1.478143293276586
76000,755.667737640228,1.0,0.07,0.8040776421546433,0.027436163276433945,-83.94686889648438,1.7926959991455078,1.6606791755182964
77000,768.9544980223524,1.0,0.07,0.8077884503508153,0.021084273234009743,-79.86275482177734,-1.8283586502075195,0.8854955164527473
78000,764.2055542911759,1.0,0.07,0.8117220885940082,0.1649353951215744,-82.34408569335938,0.8220639228820801,1.1704616275685011
79000,786.3898087777542,1.0,0.07,0.8161692837904606,7.975511074066162,-84.01777648925781,0.32622575759887695,-0.7510835554349853
80000,782.9663726759898,1.0,0.07,0.8200347783679718,0.9075552225112915,-84.77572631835938,3.9723057746887207,-0.7669420992161372
81000,786.1783040593183,1.0,0.07,0.8240088803788442,0.029920104891061783,-82.0384750366211,3.552173137664795,-0.8822591654146619
82000,844.5686901362876,1.0,0.07,0.8293771825002086,0.35280731320381165,-92.15408325195312,-0.8928086757659912,1.5491653218294505
83000,809.7376557798832,1.0,0.07,0.8336790305265604,1.3172688484191895,-84.95085906982422,1.336031436920166,0.5867386499874578
84000,856.5256220560975,1.0,0.07,0.8380496947708193,0.6296149492263794,-88.36526489257812,0.5436756610870361,1.07386969397004
85000,884.3205571171462,1.0,0.07,0.8423091277947985,0.2872660458087921,-90.217529296875,-0.24323010444641113,1.6379046772030608
86000,892.7386522138598,1.0,0.07,0.8464322260848436,0.04842941462993622,-92.95648956298828,-0.7499580383300781,0.6960748947382945
87000,795.0821249066671,1.0,0.07,0.8498106800819948,0.11794153600931168,-83.67382049560547,0.7894115447998047,-0.13353623406324916
88000,862.0944459754967,1.0,0.07,0.8532297280861967,0.28995439410209656,-90.38407135009766,1.4457249641418457,0.9698973622576545
89000,803.8716251599915,1.0,0.07,0.8568024870804412,0.28490209579467773,-89.98274993896484,0.36307549476623535,0.8571087138999746
90000,868.6317238913115,1.0,0.07,0.8604816095907367,0.3030388653278351,-87.0119400024414,-3.6894001960754395,1.3499034708751128
91000,857.927557026301,1.0,0.07,0.8639974389784899,0.07299832254648209,-88.8254165649414,0.6275134086608887,2.0824074667722665
