step,mean,std,n,ci95_low,ci95_high
10000,-174.59696287181862,191.13680977993525,3,-390.8886244856628,41.69469874202554
20000,-162.9716329701518,225.8579079939601,3,-418.55391596883226,92.61065002852865
30000,-45.648025622800695,37.24785120371722,3,-87.79793718443517,-3.49811406116622
40000,-28.190743430485654,32.71532648238769,3,-65.21162043090239,8.830133569931078
50000,-142.86181605266822,195.9637135469629,3,-364.61563347743424,78.89200137209778
60000,-22.804786636457653,111.93961111732149,3,-149.47638127513014,103.86680800221482
70000,-18.308483388789977,25.46374887137035,3,-47.12342782909687,10.506461051516915
80000,83.48621466229986,10.688392030410125,3,71.39116047101524,95.58126885358448
90000,145.32549258565356,548.1755213163556,3,-474.9935056128626,765.6444907841698
100000,158.04358953673108,245.2154666938796,3,-119.44383324540428,435.53101231886643
110000,394.32761250298046,342.20877924542066,3,7.081924102842663,781.5733009031183
120000,353.6768944661209,327.22445841921365,3,-16.6124386752536,723.9662276074955
130000,200.98010335967206,586.8604007755953,3,-463.1149569547903,865.0751636741344
140000,604.6479027457493,80.88633817574069,3,513.1163944714764,696.1794110200223
150000,339.3065987425949,359.70217653246976,3,-67.73473221767188,746.3479297028616
160000,790.7801392764096,219.84711410057403,3,541.9997098836131,1039.560568669206
170000,637.9516516881372,183.77953223675453,3,429.98553336760705,845.9177700086673
180000,709.4441694376137,235.85023791356434,3,442.55450067585974,976.3338381993676
190000,458.47449529773485,263.23432909898355,3,160.5968101978474,756.3521803976223
200000,379.91826317662185,253.50044164682396,3,93.05550865663548,666.7810176966082
210000,778.1523701151264,101.62952979382092,3,663.1477308023343,893.1570094279184
220000,434.9328241558009,699.507521679449,3,-356.634453490123,1226.500101801725
230000,798.0775975787101,164.98519656947713,3,611.3792721813959,984.7759229760243
240000,1009.7099883470659,274.1882208049219,3,699.4368078899872,1319.9831688041445
250000,731.2995126938969,744.4672684010775,3,-111.1445078219889,1573.7435332097825
260000,764.802097366085,573.939450552031,3,115.32846866755358,1414.2757260646165
270000,753.8174260994252,489.3257371838337,3,200.09322777380828,1307.5416244250423
280000,611.0242923186253,800.0684930319492,3,-294.33843693275753,1516.387021570008
290000,276.03371146314873,255.85032386395474,3,-13.488185112861402,565.5556080391589
300000,563.500018439718,192.22945547487265,3,345.9719118251159,781.0281250543201
310000,470.18529389722,480.0645307162935,3,-73.05886273616915,1013.4294505306091
320000,875.4007497088431,227.9487781827572,3,617.4524243561312,1133.3490750615551
330000,860.5678870224375,866.5752384898155,3,-120.05430951927451,1841.1900835641495
340000,1329.76507306528,292.90740166899985,3,998.3091453508673,1661.2210007796925
350000,885.832841552672,475.5232906745895,3,347.72758179392656,1423.9381013114175
360000,1002.6022128996847,676.7744861145513,3,236.75978669142728,1768.444639107942
370000,291.5192916424964,425.15186890153285,3,-189.58533843277763,772.6239217177704
380000,725.3352328653506,564.9536563608495,3,86.0299875293349,1364.6404782013662
390000,1080.461033934881,521.117170111273,3,490.7614425864451,1670.160625283317
400000,874.2860644732056,722.9984987828724,3,56.13624379707153,1692.4358851493396
410000,263.3198823293205,162.16801080908493,3,79.80950272796068,446.8302619306803
420000,1422.8680730855551,347.0698244983562,3,1030.1215941461799,1815.6145520249304
430000,1419.9501932703818,477.5838166823232,3,879.5132288309713,1960.387157709792
440000,924.1118635326761,756.7132777310337,3,67.81017892181842,1780.4135481435337
450000,1038.8561161883488,1105.5146304958441,3,-212.1514560509479,2289.8636884276457
460000,557.9667124240249,732.1831617993407,3,-270.57653287545816,1386.5099577235078
470000,1785.865660749336,384.94557860874255,3,1350.258731220433,2221.472590278239
480000,806.1085915588493,760.1590150757085,3,-54.092311923677585,1666.309495041376
490000,1266.5713276497622,861.6681596012376,3,291.50201360987046,2241.640641689654
500000,1254.8875111585323,761.0361810359088,3,393.69400094964396,2116.081021367421
510000,655.0034075030952,713.6640139067242,3,-152.5834491552971,1462.5902641614875
520000,1372.674001697869,398.3031552001984,3,921.9515513050019,1823.3964520907361
530000,1344.9916493257003,353.4747468852254,3,944.9973184044977,1744.985980246903
540000,138.5656907517113,367.1920718483343,3,-276.95125463911586,554.0826361425385
550000,834.2069547628524,486.0205647573596,3,284.2229111299157,1384.1909983957892
560000,1023.0362998446548,875.5085363679076,3,32.30512511099437,2013.7674745783152
570000,836.0228839974334,699.6879002654244,3,44.25148876617834,1627.7942792286885
580000,1035.2731303276935,1036.8060432783047,3,-137.98335611326024,2208.5296167686474
590000,1073.9296173270598,1218.4203194639435,3,-304.84276955303085,2452.7020042071504
600000,589.2954000746741,625.2043478368117,3,-118.18992102865684,1296.780721178005
610000,1462.2694943364997,879.0273468997807,3,467.5564106355431,2456.9825780374563
620000,752.0011547170485,808.4807421412643,3,-162.88093053833063,1666.8832399724276
630000,1482.4806463829725,1178.1952169615113,3,149.22724806848282,2815.734044697462
640000,1480.1743820771298,1307.1782547202988,3,0.962936283613999,2959.3858278706457
650000,1997.3810091531268,670.3298285191946,3,1238.831399547997,2755.9306187582565
660000,1246.6343960224924,1522.7240545821992,3,-476.49008389402775,2969.758875939013
670000,1166.8142506677048,1185.9641738756627,3,-175.2305500035725,2508.8590513389818
680000,1077.8355863806937,1473.4002842453965,3,-589.4737930562819,2745.1449658176693
690000,599.6985902063678,909.9194362694468,3,-429.9721834768658,1629.3693638896016
700000,1762.0909210604352,1525.1181361182128,3,36.25728285012747,3487.924559270743
710000,1539.6982199484394,774.1485795415846,3,663.6666339978829,2415.729805898996
720000,867.8188056134109,900.3100639894952,3,-150.97793967157918,1886.615550898401
730000,699.594944030957,663.6743624639735,3,-51.42329674178666,1450.6131848037007
740000,1878.153848954132,1079.390529147856,3,656.7084803282073,3099.5992175800566
750000,1233.211258405496,1391.5737457680004,3,-341.502675958591,2807.925192769583
760000,1558.4223105335204,1063.0096959401103,3,355.5135996931988,2761.3310213738423
770000,921.2549579693529,1053.1886484569754,3,-270.5401914310693,2113.050107369775
780000,1292.3371964375137,900.8686439858116,3,272.90835838249893,2311.7660344925284
790000,841.6715038018152,1331.7018698467996,3,-665.2910249494852,2348.6340325531155
800000,1255.3897850386213,1120.653120938099,3,-12.748601803317797,2523.5281718805604
810000,970.8522154479965,1236.4810433079876,3,-428.3578044274061,2370.0622353233994
820000,990.3989077997143,1283.8587106196278,3,-462.4239896685541,2443.2218052679827
830000,835.1273197070458,869.758667507306,3,-149.09726589104673,1819.3519053051382
840000,2479.0729395480644,562.8418838865955,3,1842.1573897287453,3115.9884893673834
850000,2392.4911686601786,235.40070091403823,3,2126.1101989014915,2658.8721384188657
860000,1064.3692111028822,817.0408453466525,3,139.80045718325607,1988.9379650225083
870000,1302.1690014188544,649.8817656075972,3,566.7585532815023,2037.5794495562063
880000,113.32879845293678,629.3228152057125,3,-598.8170072087979,825.4746041146715
890000,1380.5368752721286,1324.9816490061053,3,-118.82100770885017,2879.8947582531073
900000,2615.367586949143,695.1192604053776,3,1828.7660944058239,3401.9690794924622
910000,2116.0714953671322,888.1963281436751,3,1110.9827326390355,3121.160258095229
920000,1416.8934055836423,1109.4251432701567,3,161.46067156262484,2672.32613960466
930000,1812.8481081510138,1595.7061462043243,3,7.136616956144053,3618.5595993458837
940000,1091.8819913671457,1223.200920409662,3,-292.30015474902643,2476.0641374833176
950000,2828.2686970848786,417.77767118460275,3,2355.5087572819816,3301.0286368877755
960000,2180.4357351560734,434.5983287487817,3,1688.641429454831,2672.2300408573155
