step,mean,std,n,ci95_low,ci95_high
10000,-241.85769656181506,22.320370420799566,3,-267.1155734287022,-216.5998196949279
20000,-174.58195399068623,19.408308895747055,3,-196.54452302701716,-152.6193849543553
30000,9.928241611797768,84.36765368450344,3,-85.54274601686679,105.39922924046233
40000,166.3187952427,150.68888720246852,3,-4.201733154151498,336.8393236395515
50000,338.4741191382775,61.93131683337193,3,268.3922367460475,408.5560015305075
60000,481.8793761624993,114.01840829042852,3,352.8554010731582,610.9033512518404
70000,624.3067396810243,171.15978724828463,3,430.62120716624133,817.9922721958072
80000,458.5205494518312,324.0350349548043,3,91.8403887221001,825.2007101815623
90000,499.88288375816995,522.4535847714611,3,-91.32900314333057,1091.0947706596705
100000,725.6803464803679,155.36185492855617,3,549.871857301357,901.4888356593789
110000,739.158345219577,50.349385655706904,3,682.1826517503418,796.1340386888121
120000,838.503248172287,49.28211439118436,3,782.735285832718,894.2712105118561
130000,744.5027081673848,258.3135749177922,3,452.1933806197058,1036.8120357150638
140000,543.069092586097,482.3124143492096,3,-2.7187838396113193,1088.8569690118052
150000,513.9073617382602,542.1080386609433,3,-99.54563348122088,1127.3603569577413
160000,871.5502317783339,97.53392485370264,3,761.1802057502982,981.9202578063696
170000,905.596901997604,79.32033841049582,3,815.8374892799205,995.3563147152876
180000,794.339520699053,123.88707718091614,3,654.1480954743979,934.530945923708
190000,957.2670657978589,44.94169734835943,3,906.4107477165074,1008.1233838792103
200000,964.6072962459808,50.49499632130641,3,907.4668287970634,1021.7477636948983
210000,956.3294637963867,40.28232061668671,3,910.745726839198,1001.9132007535753
220000,1065.1059449241152,23.368250103970425,3,1038.6622805676002,1091.5496092806302
230000,615.6455695029796,808.728137271107,3,-299.516469696229,1530.8076087021882
240000,996.5061914492061,37.300159144509834,3,954.2970878803247,1038.7152950180873
250000,1123.7162222648606,94.44127347540997,3,1016.8458607241281,1230.5865838055931
260000,1092.7563307135642,68.76649680820942,3,1014.9397140444077,1170.572947382721
270000,1078.1066495333098,158.1851145091173,3,899.1033413837937,1257.109957682826
280000,594.5676040346729,797.2676516412771,3,-307.62567481622057,1496.7608828855664
290000,1102.7933176875188,80.10665510317025,3,1012.1441038676348,1193.4425315074027
300000,1152.7591922413997,56.05127643364686,3,1089.3312019481189,1216.1871825346805
310000,1130.858583979055,108.46571621087377,3,1008.1180714927558,1253.5990964653545
320000,1095.9704446460391,118.02835056378856,3,962.4087927048179,1229.5320965872604
330000,1220.2369328452198,32.348601169893925,3,1183.6310446022615,1256.8428210881782
