step,mean,std,n,ci95_low,ci95_high
10000,17.501763365935037,4.84612101482508,3,12.017861191962904,22.98566553990717
20000,21.567119887419,12.386124997152686,3,7.550899988826986,35.58333978601102
30000,147.57389566826578,73.13412735646315,3,64.81483976050912,230.33295157602242
40000,48.09734675935717,29.325646972102042,3,14.912253219291202,81.28244029942314
50000,183.32956089267122,114.24098390709284,3,54.0537177826256,312.60540400271685
60000,154.63403124426873,53.042779479254456,3,94.61047574287824,214.65758674565922
70000,205.60866922432737,50.9566340711588,3,147.945809484285,263.27152896436974
80000,235.60767174031517,91.65763363913894,3,131.88729520882686,339.3280482718035
90000,277.9616980008143,47.406502957097736,3,224.31618980332073,331.60720619830784
100000,252.4854720193196,108.80648137933659,3,129.35934744400504,375.61159659463414
110000,180.27116960558087,84.49487173252824,3,84.65622120334143,275.8861180078203
120000,252.90156902649517,58.549973009944075,3,186.64603737695558,319.15710067603476
130000,285.0588171567611,68.61145289240474,3,207.41764919479556,362.69998511872666
140000,249.96056642096707,138.32889032375041,3,93.42669117333281,406.4944416686013
150000,298.76656891481497,136.5388648369132,3,144.25829819267693,453.274839636953
160000,495.1753480886063,240.36762581506886,3,223.17377368975588,767.1769224874567
170000,329.01916725614075,51.5122068387618,3,270.7276177457156,387.3107167665659
180000,329.08283413364626,42.08391241207059,3,281.46040414070956,376.70526412658296
190000,358.8799304518386,109.95225561104759,3,234.45724027675067,483.30262062692657
200000,151.39911569853118,107.64032376998387,3,29.5926226861842,273.20560871087815
210000,389.21070571857763,9.460067000255867,3,378.50563214944435,399.9157792877109
220000,305.45857221173037,265.15993924532114,3,5.401854100612013,605.5152903228487
230000,459.98550497636325,174.70593842992213,3,262.2871246365414,657.6838853161851
240000,386.69261156294186,296.489052705661,3,51.183664155816416,722.2015589700673
250000,356.0809558144376,66.33037950272724,3,281.02106539019235,431.1408462386828
260000,404.8596277604501,10.770217490938698,3,392.6719793439065,417.0472761769937
270000,382.7776302961673,68.9810912318915,3,304.71817717638294,460.8370834159516
280000,410.3925081818872,52.08393583846233,3,351.453986403376,469.3310299603984
290000,375.3104364391673,13.135400948686966,3,360.4463309828366,390.17454189549795
300000,406.8644168534941,25.240228838506397,3,378.30240914142803,435.4264245655602
310000,386.04877623346215,63.5605924791094,3,314.12319488523696,457.97435758168734
320000,403.9904029821148,94.10139515628869,3,297.5046499658937,510.4761559983359
330000,264.08728407494647,132.73972758452007,3,113.87814186690917,414.29642628298376
340000,305.389793760361,202.9429260719557,3,75.73825388472406,535.041333635998
350000,400.34735434222847,12.299480216876715,3,386.4291822425802,414.2655264418767
360000,414.4209147236508,33.03148728496704,3,377.04226809526034,451.7995613520413
370000,449.53501205645586,43.22940209893196,3,400.61633845655496,498.45368565635675
380000,423.3601999825728,18.49060631567709,3,402.4361091762551,444.2842907888905
390000,193.2778371998439,145.44752002769337,3,28.688474111577477,357.8672002881103
400000,381.54358329405756,33.430351821624136,3,343.71357895235315,419.37358763576196
410000,388.70590107633666,20.21250507947253,3,365.8332983890216,411.5785037636517
420000,383.381990312151,13.047894859168592,3,368.6169073179251,398.1470733063769
430000,373.1014544240966,3.87588469079096,3,368.71547800772737,377.4874308404658
440000,273.65202256059496,194.61898717972647,3,53.41990627084522,493.8841388503447
450000,410.19611803918497,33.28641258860068,3,372.5289962731493,447.86323980522064
460000,378.52652072051933,40.33222499247688,3,332.8863116459301,424.16672979510855
470000,272.250646527067,198.24514961877165,3,47.91514115111352,496.58615190302044
480000,288.8004371797695,226.07528774419345,3,32.97216583675444,544.6287085227846
490000,392.41444694601404,30.106453072150856,3,358.3457881263338,426.4831057656943
500000,378.80640966305805,29.553940978674937,3,345.36297713493957,412.2498421911765
510000,350.5471822149572,36.30544690591059,3,309.46370150837004,391.6306629215444
520000,404.726934382757,14.035658609757405,3,388.8440914806266,420.6097772848874
530000,352.99484181025264,39.31859639496849,3,308.50166147317776,397.4880221473275
540000,363.8485776767832,38.15635277865326,3,320.6705998026056,407.0265555509608
550000,433.8255814559163,22.58271244749422,3,408.2708366391546,459.38032627267796
560000,380.78178668029574,271.03824859178417,3,74.07313534139917,687.4904380191923
570000,336.49373457439685,237.61022744662736,3,67.61245016850052,605.3750189802931
580000,455.3535885658286,326.9237481281441,3,85.40454115274838,825.3026359789088
590000,502.3526940753691,146.97662732375218,3,336.0329831894639,668.6724049612742
600000,443.33860237541876,202.53618781767238,3,214.1473301633582,672.5298745874793
610000,444.0385233820728,185.1282728159757,3,234.5461614180413,653.5308853461044
620000,461.1860470538474,130.88995435434583,3,313.0701203076766,609.3019738000182
630000,886.9274383454691,593.788116797036,3,214.9929293597046,1558.8619473312338
640000,556.6934494697788,15.90544958446823,3,538.6947388953963,574.6921600441613
650000,580.3744121931114,21.95674982140592,3,555.5280107700722,605.2208136161506
660000,579.6437140137373,67.17709829767698,3,503.62567107407546,655.6617569533992
670000,580.3971679653685,119.90652683286113,3,444.7101594980594,716.0841764326775
680000,567.8269767218507,94.68722015265104,3,460.6783003157078,674.9756531279935
690000,546.0644622304977,27.132446296252652,3,515.3612088915852,576.7677155694103
700000,527.7326814223916,124.89742810106246,3,386.3979365013205,669.0674263434627
710000,691.2873176256244,107.22749372138657,3,569.9479857910644,812.6266494601844
720000,535.9421788905087,59.90990319354394,3,468.1477413681113,603.736616412906
730000,594.9829844438025,72.62006998815039,3,512.8056392095954,677.1603296780096
740000,536.9687303454587,9.270102536998392,3,526.4786218029618,547.4588388879555
