step,mean,std,n,ci95_low,ci95_high
10000,-151.87221673287587,170.33511278463345,3,-344.62454224143653,40.88010877568479
20000,-16.540824031595964,16.119876291497235,3,-34.78218126734677,1.7005332041548478
30000,-194.391777593195,131.6616587119549,3,-343.3809700278226,-45.402585158567376
40000,-114.44282557230038,46.3879798064521,3,-166.93576632399976,-61.94988482060101
50000,-37.99964503457062,22.696329666441983,3,-63.68295983794269,-12.316330231198553
60000,-97.22279961689144,111.28928048714651,3,-223.1584758693521,28.712876635569216
70000,88.47090858632605,141.0101446444021,3,-71.09709155274463,248.0389087253967
80000,9.516587778676367,237.41857378576645,3,-259.14782009354906,278.18099565090176
90000,-4.24138469219051,63.97884923056257,3,-76.64026811057776,68.15749872619675
100000,280.61243003815076,142.5008494943527,3,119.35753856013358,441.867321516168
110000,178.35067125307864,543.9888323155329,3,-437.2306423430267,793.931984849184
120000,521.2446545055819,74.83484240830049,3,436.5610583435587,605.9282506676051
130000,366.29424311552344,308.8943163727531,3,16.74741836597275,715.8410678650741
140000,304.77928326732746,325.19776528417407,3,-63.21663069297051,672.7751972276254
150000,653.108236513062,16.543001942790312,3,634.388067528308,671.828405497816
160000,473.7602646681324,261.9182654401833,3,177.37184579529583,770.1486835409689
170000,440.7665684998708,268.61017760379707,3,136.805538140485,744.7275988592567
180000,534.6613933244893,428.3160931181223,3,49.97610647089567,1019.3466801780828
190000,688.4540166959205,347.28536424186154,3,295.4636315758347,1081.4444018160061
200000,677.2278788502076,401.99798948709406,3,222.32432985984588,1132.1314278405694
210000,542.6064729005489,338.6523804905472,3,159.38522854621584,925.8277172548819
220000,639.0957369083826,463.33233074357867,3,114.78584698542136,1163.4056268313439
230000,428.36926457213866,306.3468698293302,3,81.70514695986708,775.0333821844102
240000,823.0615454030572,117.40914009448944,3,690.2005960708602,955.9224947352541
250000,638.4803135781316,529.4383337421959,3,39.364439147618555,1237.5961880086447
260000,779.5330159932233,632.4171142131609,3,63.8856813762776,1495.1803506101692
270000,923.8779747800459,228.06336013705416,3,665.799987739905,1181.9559618201868
280000,575.5136741887123,680.1534184332404,3,-194.15237388773176,1345.1797222651564
290000,475.0270144120018,523.5764610285452,3,-117.45552659171528,1067.5095554157188
300000,713.5731174120061,511.146119679439,3,135.1568318193788,1291.9894030046335
310000,244.2976415966034,278.11861686586786,3,-70.4232006991408,559.0184838923476
320000,624.8611707241188,524.5470105614858,3,31.280349533555636,1218.441991914682
330000,377.8688755814928,220.21492404950214,3,128.67223004956878,627.0655211134167
340000,1255.702953460105,58.99162168758764,3,1188.9476492840329,1322.458257636177
350000,801.4337535556557,974.0065685146517,3,-300.7584373121641,1903.6259444234756
360000,753.461914321046,374.20949341612334,3,330.0040088771059,1176.9198197649862
370000,884.8783757479886,368.1663726564127,3,468.25890520288254,1301.4978462930947
380000,183.1559614541492,103.27074627656852,3,66.29411085625605,300.01781205204236
390000,1277.0171846063613,547.1449430874437,3,657.8643954588962,1896.1699737538265
400000,1336.2928003606335,292.98929085320395,3,1004.7442063108347,1667.8413944104323
410000,978.9010963343486,752.1493829138832,3,127.7639448899115,1830.0382477787857
420000,1432.6886718762162,174.6501286599775,3,1235.0534462363682,1630.323897516064
430000,959.2734610258804,531.735639806359,3,357.5579400572385,1560.9889819945222
440000,454.664694174546,540.1620623309152,3,-156.58622152729748,1065.9156098763895
450000,1079.2588641159152,744.1402288197021,3,237.18492372510116,1921.3328045067292
460000,546.4624105552859,488.0571933258543,3,-5.82629526007986,1098.7511163706517
470000,1418.941931889852,88.1868767742732,3,1319.1490864823988,1518.734777297305
480000,1649.6123234608883,84.68308932338482,3,1553.7843868042241,1745.4402601175525
