step,mean,std,n,ci95_low,ci95_high
10000,-206.26684430089927,20.922411359281273,3,-229.94278156843845,-182.59090703336008
20000,-168.93859736803878,115.49926161303162,3,-299.63831574367293,-38.238878992404636
30000,121.74910623209666,121.05606888021035,3,-15.238731519756897,258.73694398395025
40000,313.64721875231993,210.96217312100637,3,74.92104656944664,552.3733909351932
50000,541.5157441125485,100.61439022931748,3,427.6598433573854,655.3716448677117
60000,662.6102206448593,46.11769433441595,3,610.4231366976346,714.797304592084
70000,791.8780510396782,33.31677286512289,3,754.1765733865499,829.5795286928065
80000,810.2732226568518,34.60864496611615,3,771.1098541014001,849.4365912123035
90000,887.7713112063939,84.5774072662691,3,792.0629650554133,983.4796573573744
100000,400.2622151552796,602.8307583675378,3,-281.9050060585174,1082.4294363690765
110000,602.9591628317972,555.2982194198535,3,-25.419927034844363,1231.3382526984387
120000,1012.8746287993941,60.4752199230937,3,944.4404751756703,1081.3087824231181
130000,1058.0309871899199,321.087823288667,3,694.685910419843,1421.3760639599968
140000,1127.917628743415,64.59422166216943,3,1054.8223858645092,1201.0128716223207
150000,914.3163774028045,1045.2228407335872,3,-268.4646119801322,2097.097366785741
160000,1443.6881650663518,589.6686240954473,3,776.4153009121536,2110.96102922055
170000,1520.4261745046285,348.7795003150692,3,1125.745015250961,1915.1073337582961
180000,1694.959261865443,491.46542439099215,3,1138.8137795291584,2251.104744201728
190000,1783.4397646930595,448.6163075651858,3,1275.7826226592522,2291.096906726867
200000,1185.4780282250713,884.0670062118071,3,185.0620331496866,2185.894023300456
210000,1509.5035339742863,692.7526760678339,3,725.5800837154751,2293.4269842330973
220000,2032.481505080629,471.68500057104166,3,1498.7196794579254,2566.2433307033325
230000,2120.283214323981,478.16054361013613,3,1579.1936219284082,2661.3728067195543
240000,2299.246734071407,443.5145979889663,3,1797.3627198960285,2801.1307482467855
250000,1823.1294824693757,839.2545726282887,3,873.4235297552648,2772.835435183487
260000,2398.319759729294,388.096675362099,3,1959.1470285451571,2837.4924909134315
270000,2536.310583503686,378.33832166040276,3,2108.1804690671315,2964.44069794024
280000,2710.151876620776,378.32918415439383,3,2282.0321022456674,3138.2716509958846
290000,2127.3161604260395,1513.2940360994064,3,414.8627509801463,3839.7695698719326
300000,2494.846335005861,488.6562362839935,3,1941.879748268745,3047.812921742977
310000,2651.2349571170544,739.9377031988087,3,1813.9166221512985,3488.55329208281
320000,2002.4921681219855,1269.5563541831261,3,565.8539105574912,3439.1304256864796
330000,2879.43566229419,678.6578642459755,3,2111.461993098452,3647.4093314899283
340000,1622.5462784346057,1868.017673223726,3,-491.3147142793198,3736.4072711485314
