step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
40,-8.164178278666343,0.7540311673654683,0.07,1.8767770314790715,1.1983027458190918,-1.3842015266418457,-4.551130771636963,-0.6702504752766201
72,-19.47249594407613,0.7835530749350124,0.07,2.210979350787373,0.04784267023205757,1.1677062511444092,-3.9702916145324707,-1.6513130035533075
114,-17.292363063968903,0.9838809896719818,0.07,2.0400347743490057,0.04573206603527069,-2.0340704917907715,-5.450791358947754,2.470333289217745
164,-54.65625181110985,0.9337314124107998,0.07,3.4877176904925986,0.02403777465224266,-0.04757454991340637,-4.58506965637207,-0.4931654010573762
211,-24.144602734292686,0.8916941460674288,0.07,3.2135344432391966,0.42189905047416687,0.140699565410614,-7.353547096252441,1.9466116118427936
257,-20.696845949072195,0.8736532498622535,0.07,2.9741294153574183,0.13865701854228973,0.4905179440975189,-6.163305282592773,0.6169490740478488
354,-75.34340858498776,0.8740965919728133,0.07,3.9842838734068513,0.06781972199678421,1.7067840099334717,-4.908101558685303,-0.6691880053139705
450,-45.526451628626695,0.838569033161614,0.07,3.7285686513678624,0.3353552222251892,2.2720139026641846,-3.608428955078125,-0.11280476803669287
588,-80.26164107171776,0.8380948026417172,0.07,3.877597683819397,1.930190920829773,6.348423004150391,-5.83929443359375,-0.9612258254874506
791,-77.5736517658993,0.8146682473567493,0.07,3.5074897634656166,2.995720863342285,7.03594970703125,-4.304651260375977,-0.9651339136328585
850,-27.366690270524607,0.8150660638348801,0.07,3.4260995584440197,0.2845967710018158,2.200531244277954,-1.185133457183838,-0.3727890546555932
914,-68.67209782212822,0.8274329116784321,0.07,3.904985215328665,3.1135878562927246,9.55527400970459,-7.048337936401367,-2.664786054858775
942,-3.407931482726963,0.8341765522059916,0.07,3.8549208804945136,0.766803503036499,3.2224414348602295,-4.295821666717529,0.1532093232466227
1942,-385.0200386757468,0.742842662680665,0.07,2.7570716462970384,0.032281823456287384,12.596776962280273,-6.278628349304199,0.5930850680618098
2002,-49.92189259667502,0.7554445827287306,0.07,5.015600072152012,0.3909253180027008,1.2039620876312256,-4.9103593826293945,1.9319928852589658
2055,9.993126739367153,0.7721217788999031,0.07,4.991112323700097,0.9816871881484985,6.421209812164307,-1.6917734146118164,-1.4760092852766913
2123,-55.210650267641405,0.7702135781158129,0.07,5.087992984689503,0.9116542339324951,5.186836242675781,-1.6249074935913086,-0.3287904700003975
2176,-41.62484571404904,0.7684592795492498,0.07,5.098352889094721,3.4686245918273926,10.42426586151123,-3.137483596801758,-0.9289694998504858
2298,-66.28786205146804,0.7668926971733062,0.07,5.0829011373866715,2.699840784072876,8.556195259094238,-1.2231111526489258,-0.2043832843743631
2546,-121.60697098597817,0.758156931024757,0.07,5.113664153865671,6.236297130584717,13.221351623535156,-5.688167572021484,-0.4512130106735873
3546,-435.2320307049991,0.7055605624675925,0.07,4.357037666257154,0.006204735953360796,19.535215377807617,-5.318666458129883,-0.3710288398708971
3595,-38.232159254416665,0.7108225327045434,0.07,6.422828011081157,5.783698081970215,15.501439094543457,-3.7848167419433594,-0.05497402895855702
4595,-387.39324399047695,0.6823884190168213,0.07,5.6976870503564125,0.02194991335272789,21.240264892578125,-6.474320888519287,-0.16556737354008327
4674,-43.81773152922035,0.6846096911960386,0.07,6.696368063499189,7.355758190155029,22.844390869140625,-2.5815229415893555,-4.6828338278665855
4736,-34.46798899194788,0.6857268005353733,0.07,6.666609614696854,9.479117393493652,20.744163513183594,-5.079050064086914,-0.21888656098224846
4825,-25.292876525111268,0.6883122110318142,0.07,6.608488892662165,8.03380298614502,18.615901947021484,-6.389195919036865,0.11517477112316432
4932,-102.4499644667281,0.6931480210406669,0.07,6.743831021604081,12.102617263793945,24.421798706054688,-5.677316665649414,-0.960806463496773
5932,-365.2790422385257,0.677494707024308,0.07,6.162380064556591,0.012106074020266533,20.214397430419922,-4.886334419250488,0.3973529964704657
5988,-18.723801426089462,0.6781343249176243,0.07,6.6696006507010575,11.048567771911621,23.662857055664062,-4.528720855712891,-1.4935153116450541
6147,-90.16102921449037,0.681625099133039,0.07,6.661546002351566,12.739481925964355,24.928176879882812,-6.184060096740723,-1.1515119129294242
6324,-72.19259901017877,0.6909204722846931,0.07,6.604434934882024,13.501461029052734,25.916357040405273,-5.982251167297363,-1.648800742453798
7324,-405.626842118064,0.6876838175033064,0.07,6.149401535946831,0.004542991053313017,26.20136833190918,-5.353518009185791,0.06638253439314257
7589,-135.370965728017,0.6925057557685552,0.07,7.391170962714416,11.54064655303955,25.2448673248291,-2.4682440757751465,-0.1359307960501956
7732,-115.30863884477414,0.6948620209645588,0.07,7.459613962392663,15.926895141601562,32.51445770263672,-5.265502452850342,-2.7442451638595142
7939,-118.53121506164426,0.699886389945021,0.07,7.460957964506105,17.765296936035156,31.96628189086914,-2.809021234512329,-0.5191632083582475
8939,-412.34340998721444,0.6927121637194297,0.07,7.039651345919291,0.022577226161956787,32.02699279785156,-2.564356803894043,-1.8620516490632906
9939,-376.80098563810486,0.681323863945225,0.07,6.68275908633229,0.03071068599820137,24.7801513671875,-5.917276382446289,0.34131236946887056
9952,0.9121635838113227,0.6812438241884176,0.07,8.394558348110156,6.795809268951416,21.387767791748047,-4.243629455566406,0.49581481181012343
10952,-412.56529950952495,0.6712449860803196,0.07,8.007438583380731,0.010629765689373016,27.468149185180664,-3.3489818572998047,-0.4931230980776293
10999,-9.40015377022917,0.6715746916755112,0.07,8.48126958896129,7.257406234741211,21.7603816986084,-4.074777603149414,1.0877979388582821
11100,-58.39916626120678,0.6709851210525898,0.07,8.460357097831155,8.958076477050781,26.12888526916504,-3.0051589012145996,-0.8069996150550185
11275,-114.41837915358889,0.6733404091553805,0.07,8.470313818404632,12.965829849243164,32.75308609008789,-3.1413307189941406,-2.253099269223592
12275,-382.39833001168483,0.6660030680710137,0.07,8.122869010556684,0.11921508610248566,28.08197593688965,-3.0148253440856934,-0.555885680880418
12316,-10.646624231352131,0.6661086187864693,0.07,8.479262510612113,9.516378402709961,26.702800750732422,-2.264568567276001,-0.5454415827259891
13316,-393.58556407242844,0.6612085123796473,0.07,8.159484433094299,0.0014057592488825321,30.384071350097656,-6.013012409210205,-0.9507564013309128
13473,-69.01148859088546,0.6634147590062165,0.07,8.598319499563498,6.101910591125488,23.020483016967773,-3.1484460830688477,-1.7808745726726742
13611,-60.38278977133147,0.6647355282305832,0.07,8.570369443529538,2.7510712146759033,14.13859748840332,-5.065837860107422,0.07652061843967956
14611,-424.0417055559256,0.6574820282358863,0.07,8.2758606105127,0.035160381346940994,31.04927635192871,-6.433190822601318,0.24645851229546656
14759,-35.29207719798973,0.6600512134446536,0.07,8.761137417855146,4.517468452453613,16.167766571044922,-2.7280941009521484,2.45345122016005
14965,-68.14704823619348,0.6605724622962138,0.07,8.714567074083918,11.650134086608887,30.54970932006836,-5.269927024841309,-0.8048941751828564
15055,-18.711824631632343,0.663821253315045,0.07,8.689778807524831,0.7212352156639099,5.2094316482543945,0.20562744140625,2.17041279188267
15135,-84.31264897385523,0.6670306597696903,0.07,8.709708230337306,8.187321662902832,24.0263729095459,-1.7200007438659668,0.8951485861458933
15216,-35.37105383616961,0.6672721199560986,0.07,8.693706240055489,5.521838665008545,15.801218032836914,-5.749696254730225,4.627765975995239
16216,-365.32527257205595,0.6703523775584825,0.07,8.4264815850044,2.5891682525980286e-05,30.143396377563477,-2.921565532684326,-1.0527218641370397
16489,-69.47544137841288,0.6735330035621403,0.07,8.658904679103157,1.1415107250213623,10.082240104675293,0.337069034576416,-0.830935423477277
17489,-404.3965727715075,0.6720674500872272,0.07,8.411685086202638,0.0028691496700048447,30.25395393371582,-3.1935834884643555,-1.4468509430645884
17572,-4.305408784198904,0.6730387350820337,0.07,8.722334545786168,11.682906150817871,30.5925235748291,-4.241680145263672,-0.7793491853336533
17716,-1.040072506603262,0.6758576286238934,0.07,8.691424824463311,1.601474404335022,10.922859191894531,-3.0020766258239746,0.07608406587482239
18716,-454.8597413967641,0.671244024800865,0.07,8.459309941506719,1.0387184374849312e-05,27.087369918823242,-2.4717493057250977,-1.0344774664028062
19050,-151.86089979848123,0.6754471141728515,0.07,9.18430949914706,3.9609787464141846,18.837642669677734,5.896528244018555,-0.5588375032706838
19154,-33.308223792029054,0.6754361874438253,0.07,9.162665532751051,10.508316993713379,30.438459396362305,-1.0848612785339355,-0.7362749777269327
19538,-282.4482456782252,0.6802149736929095,0.07,9.36649814098314,20.617713928222656,45.683937072753906,-4.727989196777344,-3.1537339920396015
19752,-43.28209139058957,0.6827075175108342,0.07,9.31749286172097,10.639827728271484,31.107316970825195,-2.610651969909668,-0.7148201859269759
19843,-52.42533126078231,0.682057103939804,0.07,9.307929246073517,6.681424140930176,24.187841415405273,-2.4109864234924316,-0.12828771469526587
20843,-516.1129340754388,0.6802185487826072,0.07,9.084963742793319,0.02182525210082531,38.242244720458984,-3.2353129386901855,-0.8200063928580835
20916,-47.71488203292714,0.6809253073362258,0.07,9.785220694005757,14.497817993164062,36.04576110839844,-5.128175735473633,1.2124514549815222
21127,-114.59085501911991,0.6830244005629423,0.07,9.771472972252399,16.790361404418945,41.200218200683594,0.011630058288574219,-1.1605876039226033
21852,-422.4480974658802,0.6885407775008021,0.07,10.140052587036129,22.16153907775879,50.48656463623047,-4.757774829864502,-2.7512100557879817
21880,-6.005614074352763,0.6887022850176256,0.07,10.133426045350259,17.837818145751953,41.242919921875,-4.244248390197754,1.555444731736396
22012,-12.933568077307102,0.6896315229639031,0.07,10.103698960813132,8.100991249084473,28.618215560913086,-5.59589958190918,0.1391768335796541
22115,-40.5041408169461,0.6907654223377333,0.07,10.084057818548402,11.059713363647461,35.0871696472168,-2.0688462257385254,-1.5514789372418212
22344,-81.14024646184791,0.6922005621484731,0.07,10.049179672511416,5.68112850189209,22.80645751953125,-2.884124994277954,1.145880759900578
22527,-83.98163139961854,0.6959072818442447,0.07,10.028722182926264,4.67788028717041,21.07986068725586,-2.7438249588012695,0.6106674993971457
22689,-79.72486069511955,0.6970708138492111,0.07,10.014700847171719,3.667728900909424,18.152423858642578,-2.5288710594177246,1.027046929074668
22857,-80.77449856775321,0.6970620086845998,0.07,9.995634319537844,4.546118259429932,20.238391876220703,-1.2556804418563843,1.0739262554371447
23326,-156.1562486881244,0.6978190359203307,0.07,9.936092027897155,9.276144981384277,31.315200805664062,-3.8583359718322754,-1.0530778285417528
24326,-507.87117694095787,0.6992145426987016,0.07,9.732780518563857,0.022791782394051552,37.4675407409668,-2.7768325805664062,-0.850095852757132
25326,-300.46972829832697,0.7024889279045895,0.07,9.541793560236425,0.002149717416614294,30.197498321533203,-0.3085002899169922,-1.0706124805764317
25661,-123.30766603108884,0.7032566708728298,0.07,10.748008259326634,5.739243507385254,24.184154510498047,-1.999504566192627,1.5645462244941166
26661,-312.2373860737165,0.7016433098280549,0.07,10.546596726411044,0.00222113193012774,17.317291259765625,-3.4676566123962402,0.6107676794618961
27007,-135.36882500034827,0.7034255894443553,0.07,10.673633179812088,4.71320915222168,22.385324478149414,-6.251896858215332,0.7870527440534429
27072,-19.850754438635043,0.7046329473844577,0.07,10.66129721291107,0.8774121403694153,9.917753219604492,-1.2767438888549805,0.06871334285953354
27435,-185.2856625336396,0.7068430838133964,0.07,10.654572464745064,12.244034767150879,37.8215446472168,-3.782670021057129,-0.5396232598064288
27528,-32.95466726189034,0.7066279586440181,0.07,10.638016211175724,8.020465850830078,29.906103134155273,-1.944838523864746,0.22120951835494396
27594,-42.315291325281436,0.7068066691728538,0.07,10.629054322589,3.8936338424682617,20.12139320373535,-1.4668254852294922,0.8521668727292313
27666,-50.551353233631175,0.7067465107713812,0.07,10.621556619854237,7.657827377319336,28.272829055786133,-3.3578901290893555,1.119970677810215
27726,-14.255490306147767,0.7069919278781248,0.07,10.610073171514419,7.919487953186035,32.95922088623047,-3.376612663269043,-3.1007935776487634
28726,-254.85220511283845,0.7031883575769708,0.07,10.425447646316645,0.0019930575508624315,7.938397407531738,-4.714352607727051,0.6907632142875996
28852,-85.4595321561424,0.7042008219136056,0.07,10.46628146612506,2.106297016143799,14.72585678100586,-2.9698963165283203,0.4639494968655482
29001,-53.050529859225826,0.7043781831785515,0.07,10.44290089888594,3.7088778018951416,21.45229148864746,-0.9884781837463379,-1.3408873315813157
30001,-171.74089436712973,0.7005351734723435,0.07,10.268932437090585,0.0005939310067333281,-1.4827306270599365,-4.076852798461914,-1.1224011570768995
30033,-6.378810608992413,0.7005587980505569,0.07,10.264351626114129,0.5190381407737732,8.653205871582031,5.194459915161133,-1.2583257031946962
30194,-148.4195131936473,0.7029282930602453,0.07,10.292228386344362,6.160062789916992,26.66628074645996,-3.393566131591797,-1.1215112796745137
31194,-418.8879503599089,0.7018517385811278,0.07,10.127907616155376,0.015985578298568726,8.055277824401855,-2.987360954284668,1.6774101026444863
31355,-93.6741576526647,0.702074807106267,0.07,10.538594623238948,3.4600412845611572,17.54227066040039,1.2300310134887695,2.0607630723453556
31461,-97.91683006860956,0.7053260757304499,0.07,10.543731768085918,9.89309024810791,32.575889587402344,-2.038205146789551,0.5876107033122374
31525,-24.857796074876134,0.705638886323848,0.07,10.533960806337332,8.445466041564941,32.366783142089844,-1.079357624053955,-1.7539507926709694
31573,-28.520772327058747,0.706117639474417,0.07,10.528186126302225,2.4731991291046143,16.42556381225586,-2.1804580688476562,0.13149039941209356
31611,-52.924609406284524,0.7070851022817646,0.07,10.531137816490592,20.452220916748047,51.51875686645508,3.9324092864990234,-3.8926019601053032
31734,-82.44403282388575,0.7071774856344802,0.07,10.528350864370813,5.352480411529541,24.973167419433594,0.7213268280029297,-0.6153761305782453
31832,-72.241839996924,0.7074096304303074,0.07,10.525262671350937,19.137771606445312,47.59735870361328,-2.33760929107666,-1.552764258135585
31870,-12.356893249307616,0.7072462333261916,0.07,10.519271388908484,14.662581443786621,41.085601806640625,1.3978753089904785,-0.8054690479410183
31910,-36.90042936210484,0.7072960926606713,0.07,10.51649533709952,4.259101390838623,21.984628677368164,-0.9692277908325195,-0.2811153868744662
31944,-45.67575968974543,0.7081133436619176,0.07,10.517209778536795,5.216291904449463,27.260032653808594,7.168239593505859,-3.239561292902676
31981,-28.478958967648907,0.7081447094091495,0.07,10.513552318454884,15.267404556274414,44.18184280395508,5.362427711486816,-3.1016849625843665
32130,-150.6901573850746,0.7114892483914679,0.07,10.555624563248015,2.392991542816162,16.010576248168945,0.6095499992370605,0.31823418380607177
32196,-49.33699203413053,0.7115715019788474,0.07,10.551352864450235,16.303834915161133,45.71257781982422,-0.10453510284423828,-3.1083162207179558
32334,-97.72690687302791,0.711236460710903,0.07,10.549844576324576,7.836485862731934,29.00303840637207,-0.9274816513061523,0.5299072105013858
32617,-177.66739845042474,0.7138107309643338,0.07,10.566479677216732,14.31661319732666,37.51918029785156,-3.998549222946167,2.4615250577376946
32639,-9.372564612830036,0.7137102362571136,0.07,10.562928487130975,18.374469757080078,45.50701141357422,-0.5649881362915039,-0.228542759278775
33121,-272.7760961040343,0.7180008619327135,0.07,10.622135121736804,10.066056251525879,33.8531379699707,-2.9787535667419434,-0.1522353681746158
33455,-137.94106815176036,0.7171953977763361,0.07,10.61622704253404,22.570613861083984,52.72994613647461,-0.13361787796020508,-2.2938001196751974
33801,-153.31655956864466,0.7173988701295833,0.07,10.601248134854034,7.206760406494141,28.78398895263672,1.1427721977233887,-0.3245039535085462
34801,-325.02583151862365,0.7157258917143132,0.07,10.449472020256652,0.02211104705929756,53.398231506347656,-6.090380668640137,0.500023039143126
34873,-27.846881110055904,0.7153828393550647,0.07,10.66344318990711,12.585044860839844,37.594696044921875,0.20259714126586914,0.2343026640540542
35087,13.129714011541882,0.7155514905227497,0.07,10.63169211859773,1.3476237058639526,14.670406341552734,-2.329165458679199,-2.328372141802333
36087,-173.37677111344712,0.711544905182891,0.07,10.484585763260519,0.025036606937646866,30.07003402709961,-5.097729682922363,0.200055667365398
36194,-5.671310824009098,0.7116522873269596,0.07,10.490210117839018,1.0633398294448853,11.751714706420898,3.3320837020874023,-0.9343808029086721
36501,-135.34148019014523,0.7115522664392712,0.07,10.486144027473676,20.99581527709961,50.8043212890625,-1.0287957191467285,-2.755558703484259
37501,-136.14977082974534,0.7082810085573745,0.07,10.346625499483245,0.00010394258424639702,-2.7973556518554688,-2.631044864654541,0.76426744237025
37689,-98.21008268275311,0.7090923046628147,0.07,10.374230816136759,1.8569223880767822,12.509177207946777,-2.5161325931549072,1.6276759529125728
37781,-26.937897144469982,0.709554941255744,0.07,10.362634135928685,7.919083595275879,29.550718307495117,0.06376075744628906,-0.3893675175242066
38781,-437.97101022576993,0.7075331457285435,0.07,10.229682131985294,0.0041999355889856815,0.32596349716186523,-2.3237533569335938,-0.7998761136358555
39781,-257.66176149986325,0.7041492213753862,0.07,10.101472437086803,0.009003927931189537,29.58783721923828,-1.216871976852417,0.4440029013409911
39814,-19.262690281005696,0.7041075197698444,0.07,10.55811705599502,13.550285339355469,39.270118713378906,-1.5894384384155273,-0.4049362247177646
39840,-27.4605090153034,0.7041606820930619,0.07,10.556309016931136,7.080948829650879,29.741554260253906,2.859865665435791,-1.6511599280261673
40189,34.37075237366699,0.7052248440770119,0.07,10.515754244293872,0.40239259600639343,-7.567228317260742,-0.4186835289001465,0.8966198287444817
41189,-149.01541980072173,0.7052885198006419,0.07,10.388901271767287,0.005223230458796024,11.887739181518555,-2.3791122436523438,-0.9652506948044238
42024,-21.91945537491189,0.7056330951882239,0.07,10.287737264510735,0.0493750162422657,-2.533564329147339,-3.5679006576538086,0.2475788865801943
42633,-225.80071812495842,0.7080466043243314,0.07,10.285306413843104,23.51551055908203,49.46941375732422,-2.3672521114349365,0.4069127402111483
43633,-231.15611552617847,0.7078218477731846,0.07,10.168142179439569,0.0067019034177064896,50.28099822998047,-4.011935710906982,0.5487651019500006
