step,mean,std,n,ci95_low,ci95_high
10000,1.8734144556640437,7.397015278662474,3,-6.497096318513643,10.24392522984173
20000,17.87548054284312,16.103944723681362,3,-0.3478484267721633,36.0988095124584
30000,-12.009114598026871,34.47313725709618,3,-51.01914174540985,27.00091254935611
40000,51.64066407318768,51.15631411502108,3,-6.248154907923009,109.52948305429837
50000,70.64910565439442,32.58838873451048,3,33.771872238075865,107.52633907071296
60000,3.727900958852947,37.501902976983615,3,-38.7094972477611,46.165299165467
70000,30.269485525861725,37.42803567899454,3,-12.08432396417085,72.6232950158943
80000,27.74039437734179,45.335841075867876,3,-23.56193931887542,79.042728073559
90000,11.720342559444616,8.392063786970006,3,2.2238283979758755,21.216856720913356
100000,1.4380944356005472,60.06391888556893,3,-66.53062824924692,69.40681712044801
110000,30.747187823531302,37.94415971864196,3,-12.190670998823595,73.6850466458862
120000,53.11194455236349,78.91761949155381,3,-36.191748807852484,142.41563791257946
130000,41.156964274439126,47.97979316101908,3,-13.13728286002766,95.45121140890592
140000,36.37494296373833,19.743153314738986,3,14.03346179714178,58.71642413033487
150000,55.948901453698134,36.134846017620475,3,15.058473825916366,96.8393290814799
160000,33.49967970609948,39.66232760093245,3,-11.382469107388054,78.381828519587
170000,46.42208689480517,40.042314314477046,3,1.1099426358648685,91.73423115374547
180000,52.38948028162383,55.20543631262753,3,-10.081351809395613,114.86031237264328
190000,29.433887915720508,11.781723591191449,3,16.101612593411897,42.76616323802912
200000,65.02298084649924,74.87607882497831,3,-19.707278713811903,149.7532404068104
210000,49.65924321289731,11.902047963252281,3,36.19080804573389,63.12767838006073
220000,138.24505149071229,58.461779359093285,3,72.08932035216934,204.40078262925522
230000,66.09257638865658,68.20134930066209,3,-11.084515671896,143.26966844920918
240000,98.00463895056208,94.81687234501256,3,-9.290752722776219,205.3000306239004
250000,28.10457547523791,19.589725516433294,3,5.93671420672117,50.27243674375465
260000,16.90406736506484,15.669773575731616,3,-0.8279506994298629,34.63608542955954
270000,94.63519988907593,61.670378031967246,3,24.848597547822678,164.4218022303292
280000,68.05333962220492,31.8663045804789,3,31.99322134807344,104.1134578963364
290000,75.1564134375423,18.304255176043444,3,54.4431987972619,95.8696280778227
300000,70.78821860256774,57.42980899256309,3,5.800271867092164,135.7761653380433
310000,83.92367397135287,38.220425759738724,3,40.67319069353544,127.17415724917029
320000,112.2023054162234,68.98986745010646,3,34.13292107061929,190.2716897618275
330000,145.64574957125492,117.90282800337395,3,12.226139778761365,279.0653593637485
340000,189.94344685785825,254.16104518779343,3,-97.66685094125256,477.55374465696906
350000,69.73013466726734,98.61708162556602,3,-41.865598634235695,181.32586796877035
360000,195.27332146181755,168.1399277182425,3,5.00508170370054,385.5415612199346
370000,102.29523640685615,161.67140493229735,3,-80.6531807426805,285.2436535563928
380000,325.5153212831453,248.5088563077385,3,44.30107731599867,606.7295652502919
390000,120.04482218386907,172.16036445782908,3,-74.77297003261386,314.862614400352
400000,189.07823547649596,62.07220465976823,3,118.83692350025493,259.31954745273697
410000,128.17826201629154,143.22575213984535,3,-33.89693402724808,290.25345805983113
420000,297.3642464296119,83.09720000564349,3,203.33091247697354,391.3975803822503
430000,69.73148070687664,53.8340662417871,3,8.8124999397915,130.65046147396177
440000,315.4756863507368,320.0617974126956,3,-46.70833284059239,677.6597055420659
450000,326.6431560047275,50.97436223049793,3,268.9602349638544,384.3260770456005
460000,239.73100152919065,195.85437768404609,3,18.10090928060339,461.3610937777779
470000,391.18818398817666,80.0407576520241,3,300.61354015416276,481.76282782219056
480000,161.20237311621207,110.49431108212877,3,36.166289431721054,286.2384568007031
490000,339.968264128838,100.714606216169,3,225.99895830878262,453.9375699488933
500000,246.04848778336384,254.9490663542404,3,-42.453539911594476,534.5505154783222
510000,168.78242677013807,150.61054990522064,3,-1.6494546297922739,339.2143081700684
520000,248.3593623174123,112.79196268544952,3,120.7232410804261,375.99548355439845
530000,370.11621966592725,313.7783298285259,3,15.042613408880811,725.1898259229737
540000,361.9875581928192,221.644170156547,3,111.17356843659968,612.8015479490388
550000,210.8820551555951,214.45772529445867,3,-31.799706684363912,453.56381699555413
560000,194.36155958338247,159.5217126138225,3,13.845748293788603,374.87737087297637
570000,339.70305653605493,107.78683818125096,3,217.73076685952893,461.67534621258096
580000,350.3323794536897,192.81322313779748,3,132.14367754111328,568.5210813662661
590000,320.64250613252904,218.5714173587163,3,73.30566350007174,567.9793487649863
600000,296.81839491636066,71.18482634370937,3,216.26518075891622,377.3716090738051
610000,215.07400624897312,149.38701587192762,3,46.026683947872215,384.12132855007405
620000,356.7244805337264,210.7734998341864,3,118.21181227380458,595.2371487936482
630000,308.02508420247636,119.37947501263109,3,172.9344910153292,443.11567738962356
640000,365.220671515967,65.71137101632961,3,290.86125513557636,439.58008789635767
650000,401.11239697713154,72.36705077899073,3,319.2213699316207,483.0034240226424
660000,461.68907699353093,83.62572517005715,3,367.057660514835,556.3204934722269
670000,515.1771118444235,399.3986190745157,3,63.21502738061611,967.1391963082309
680000,233.38907512928995,168.6442746322236,3,42.55011311113111,424.2280371474488
690000,315.74145666236024,192.1187251614358,3,98.33865319324775,533.1442601314727
700000,374.47611587920073,34.906488649354664,3,334.97570546758845,413.976526290813
710000,396.5640572612772,124.22833808066711,3,255.9864589748453,537.1416555477091
720000,360.3054368715168,177.17691192358808,3,159.8108867967072,560.7999869463264
730000,381.6993174858937,181.84112950535726,3,175.926708349353,587.4719266224344
740000,578.5964157266369,247.0746778094479,3,299.00509750991625,858.1877339433576
750000,477.9595236796229,138.88312898054375,3,320.7984683501066,635.1205790091392
760000,331.6080486866804,92.19139838935058,3,227.28366047964357,435.9324368937172
770000,437.64681947569665,394.5545860127274,3,-8.833725555424394,884.1273645068177
780000,411.0651746046169,99.26496072467008,3,298.73629708546457,523.3940521237693
790000,334.42258190196736,104.06345861766206,3,216.66369284437445,452.1814709595603
800000,413.998999457667,129.81732081420998,3,267.0968718272492,560.9011270880849
810000,495.1584602923124,247.14393766921194,3,215.48876716618133,774.8281534184434
820000,639.0770169136732,193.30456154917712,3,420.3323132475132,857.8217205798333
830000,294.5138796919229,258.22505887788844,3,2.3047174727974493,586.7230419110483
840000,432.11458331568355,135.5446250458852,3,278.73140083108404,585.4977658002831
