step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,-241.8532454175649,1.0,0.07,0.6143217597565328,0.00968121737241745,-3.1306488513946533,-4.1328206062316895,0.486003184043604
2000,-256.09319412121954,1.0,0.07,0.5853727202016668,0.30285173654556274,4.8887553215026855,-2.9937548637390137,-0.8297150916435349
3000,-180.91651644979814,1.0,0.07,0.5667132265260852,0.3145507574081421,1.6033544540405273,-4.046276092529297,-0.05137358140548204
4000,-301.73631855065065,1.0,0.07,0.5685080687459904,0.20593895018100739,9.104113578796387,-2.5907788276672363,-0.5371991622290192
5000,-220.30832906780037,1.0,0.07,0.5653311039100035,0.6232369542121887,3.4140524864196777,-2.0470457077026367,-1.4377143818635743
6000,-197.0447081990039,1.0,0.07,0.5689720656850258,0.1680886149406433,1.9029620885849,-2.5362510681152344,0.684012782010378
7000,-224.27489700294024,1.0,0.07,0.5697894532169452,0.3874727785587311,1.0667853355407715,-3.1941895484924316,-0.25328124173527444
8000,-231.5452332996319,1.0,0.07,0.5682992551253321,0.00029367543174885213,3.6483850479125977,-0.0990443229675293,-0.7795972762006199
9000,-244.06701421448034,1.0,0.07,0.5663027701191568,0.025706730782985687,-0.672313928604126,-1.505831241607666,-0.13774794569415533
10000,-210.2558794852527,1.0,0.07,0.5638489563021077,0.6802111268043518,-0.7580004930496216,-4.930170059204102,0.18728581380964449
11000,-198.82011671383646,1.0,0.07,0.5614072349046026,0.4561692774295807,-4.550275802612305,0.738854169845581,0.35361553386512057
12000,-159.05680493569614,1.0,0.07,0.5576783602318435,0.13352495431900024,-5.668304920196533,-4.520664215087891,0.26181524268154915
13000,-159.2667791530953,1.0,0.07,0.5596531242468268,1.3791643381118774,-3.8658945560455322,-2.0459494590759277,-0.007158874594484332
14000,-88.46127466993755,1.0,0.07,0.5637867223864318,1.2108205556869507,-9.690598487854004,-2.0764622688293457,-0.25575824782177137
