step,mean,std,n,ci95_low,ci95_high
10000,18.435987985817615,3.9218355228017243,3,13.99801330799587,22.87396266363936
20000,73.36041601367198,76.70203773159687,3,-13.436110564519396,160.15694259186336
30000,173.98886703580933,52.67969153737928,3,114.37618421954187,233.6015498520768
40000,91.64722520346412,65.89784838284959,3,17.07678981786762,166.2176605890606
50000,177.53943988346523,142.61168026640124,3,16.159131580337714,338.91974818659276
60000,109.818396741132,23.868765770280525,3,82.80834558944866,136.82844789281535
70000,214.270322675078,46.10522399290593,3,162.09735024770762,266.44329510244836
80000,114.97592227408802,85.82921652225184,3,17.851020597712733,212.1008239504633
90000,236.9844764624712,106.33273028018368,3,116.65766477864464,357.3112881462978
100000,182.3511807288024,81.96011659063564,3,89.60457779102587,275.09778366657895
110000,173.4087066403848,122.18362817030409,3,35.144915435592,311.6724978451776
120000,290.5084906918737,46.04941480806503,3,238.39867230236996,342.61830908137745
130000,294.5082293144285,13.015644855504577,3,279.7796406348643,309.2368179939927
140000,328.1044331990163,126.93821201328873,3,184.4603238814251,471.7485425166075
150000,314.0542305639996,42.66380066379291,3,265.7755952401286,362.33286588787064
160000,284.669579093164,159.84180518941915,3,103.79154895558491,465.54760923074303
170000,265.2533792593804,154.15780058630415,3,90.80740583366102,439.6993526850997
180000,247.58313297846902,152.4898026798945,3,75.02467687168541,420.14158908525263
190000,446.30260263126337,138.70979513855562,3,289.3376930087968,603.2675122537299
200000,402.7878818548474,32.22630417044322,3,366.32038569477476,439.25537801492004
210000,338.9062177388061,11.825230192722914,3,325.52471006221026,352.28772541540195
220000,435.762732258442,179.75785094805053,3,232.347574736183,639.177889780701
230000,376.6350013088739,77.2781148586862,3,289.1865820932604,464.08342052448734
240000,378.66180089381936,213.03427514881395,3,137.59082453040165,619.7327772572371
250000,453.55251764844843,110.66318676852234,3,328.32533313487954,578.7797021620173
260000,293.12983639206936,165.56312804928032,3,105.77751995969754,480.4821528244412
270000,352.9092726567121,37.771010824589965,3,310.1673502531152,395.651195060309
280000,205.96319434679216,180.71420831691452,3,1.465816583197153,410.46057211038715
290000,436.2553063316265,119.50894575518562,3,301.01820320706986,571.4924094561832
300000,478.442914679752,68.39309078000373,3,401.0488467095625,555.8369826499415
310000,468.6608376134054,15.139366777708288,3,451.52903134384354,485.7926438829673
320000,433.2935448189778,97.45615858886786,3,323.01151960385715,543.5755700340985
330000,335.09124121544454,248.80744253102495,3,53.53911512897213,616.6433673019169
340000,254.33064322400637,171.30629447996526,3,60.47932216951128,448.1819642785015
350000,409.20865479686796,38.23435649954901,3,365.94240740294674,452.4749021907892
360000,437.076665503647,11.129481307953455,3,424.48247180663486,449.67085920065915
370000,457.9562976780114,30.797395499188283,3,423.1057638976918,492.80683145833103
380000,475.1421257822833,110.35199480018282,3,350.2670881314277,600.0171634331389
390000,384.5404277935252,20.19512604124688,3,361.6874913393099,407.3933642477406
400000,439.2954462246146,21.613550392843408,3,414.8374115152093,463.7534809340199
410000,441.8635080244487,9.91789501589368,3,430.6403532842962,453.0866627646012
420000,452.1369056481344,68.79676689924099,3,374.28603514637507,529.9877761498938
