step,mean,std,n,ci95_low,ci95_high
10000,-2.0627099234391295,6.555302414322127,3,-9.480732925954566,5.355313079076307
20000,2.4933072830556555,8.524148876650612,3,-7.152675228095832,12.139289794207142
30000,63.541829713231266,69.23610558558082,3,-14.806199313822546,141.8898587402851
40000,27.043079433669302,63.20587758525316,3,-44.4811042252271,98.56726309256571
50000,41.683728343634186,14.521103735339965,3,25.251552568597326,58.11590411867105
60000,18.781429071787134,24.866747668249264,3,-9.357944910075922,46.92080305365019
70000,22.83733499137017,21.312134163423554,3,-1.2796151452955264,46.95428512803586
80000,23.89433191136716,2.338153068290793,3,21.248462636734054,26.540201186000267
90000,28.033090288026035,83.8430903055384,3,-66.84429799685566,122.91047857290772
100000,12.531999640582917,29.617138323855542,3,-20.982947415869667,46.0469466970355
110000,57.544508258542585,67.09769818695986,3,-18.383684997538673,133.47270151462385
120000,57.453155018221366,59.435642903515514,3,-9.804606464192815,124.71091650063555
130000,23.619956523768916,15.103460263846872,3,6.528782299676372,40.71113074786146
140000,81.51112557506646,77.80194694785176,3,-6.530065452019173,169.55231660215208
150000,53.8198396966161,33.73515362992598,3,15.644919639009451,91.99475975422274
160000,18.739312752067192,28.53654361956185,3,-13.55282628330405,51.031451787438435
170000,110.13750875802668,132.94647664148593,3,-40.30559203245076,260.5806095485041
180000,15.535704811385273,41.39522577485154,3,-31.307402887395433,62.37881251016598
190000,46.658377181380644,22.928459956624046,3,20.712382226382164,72.60437213637913
200000,27.667812575498004,42.640031625845296,3,-20.58392554987644,75.91955070087245
210000,99.04735669470888,87.92730611131525,3,-0.4517568561646357,198.54647024558238
220000,72.00414089056987,46.505588602244806,3,19.378113257846927,124.63016852329281
230000,37.310999774272,28.836924585794655,3,4.678947676741416,69.94305187180258
240000,169.40386541303465,96.25838491145464,3,60.477248709876235,278.3304821161931
250000,33.21573159025392,5.775367025417779,3,26.68028856493798,39.75117461556985
260000,141.6091618745564,106.81962629569337,3,20.731375481310977,262.48694826780184
270000,116.59396867226651,100.32766653776137,3,3.0625263180891693,230.12541102644386
280000,121.1437084653465,47.7742121621739,3,67.08209813112585,175.20531879956718
290000,123.91910070886682,125.76036907741583,3,-18.392153853989313,266.23035527172294
300000,73.76813092431969,31.639975084268258,3,37.96412858549124,109.57213326314815
310000,47.995315622435264,33.39898033512279,3,10.200811459636626,85.7898197852339
320000,89.29943997551378,128.2103147258725,3,-55.78418907542972,234.3830690264573
330000,278.50917426004963,192.6344571208321,3,60.52276513918633,496.49558338091293
340000,60.62266148117859,66.49963491286171,3,-14.628759470008397,135.87408243236558
350000,169.38885689132502,142.39408898577227,3,8.254776301708603,330.52293748094144
360000,50.34961770460529,7.250964202446965,3,42.14437928163778,58.554856127572805
370000,63.50767339454594,13.859948130299665,3,47.823665617939724,79.19168117115215
380000,277.13541768304384,244.7544181529994,3,0.16972043931434655,554.1011149267733
390000,463.3606104431733,310.709129085224,3,111.7601317817979,814.9610891045487
400000,268.0502784405725,184.3387875933482,3,59.451303107919216,476.64925377322584
410000,131.68995062417025,108.93055892596487,3,8.423419087161108,254.9564821611794
420000,254.93153764004288,111.50004582327995,3,128.75735795741934,381.1057173226664
430000,141.09456877701112,45.40514880623942,3,89.71380600069153,192.4753315533307
440000,208.8653110010226,99.07306271421922,3,96.75358652313213,320.9770354789131
450000,143.8517840907767,143.61117260202494,3,-18.65955626364044,306.3631244451939
460000,132.0650465525554,145.3788348885495,3,-32.44659198390593,296.57668508901673
470000,546.6488973586112,164.66940339655451,3,360.3079255771513,732.989869140071
480000,496.7951183926414,263.2785454255325,3,198.86739780900416,794.7228389762787
490000,332.36152344081705,254.42480822319774,3,44.45274966910006,620.270297212534
500000,268.05486606391474,82.09669220750078,3,175.153713266581,360.9560188612485
510000,263.8317938664698,146.78481283119217,3,97.72914151243603,429.93444622050356
520000,230.0741357512128,171.95606580804312,3,35.4875292204099,424.6607422820157
530000,414.4365317417823,352.1199796272398,3,15.97526429311074,812.8977991904538
540000,223.17444333872928,107.67238660374234,3,101.33166781440748,345.0172188630511
550000,207.55246650236813,120.14502911317808,3,71.59556729780209,343.5093657069342
560000,189.58271680392969,146.2731441001206,3,24.059072125951303,355.10636148190804
570000,327.2936675515437,126.52614021565954,3,184.11586136999438,470.47147373309303
580000,218.02123168076955,193.16307331926745,3,-0.5633629808444596,436.6058263423836
590000,382.52777984654267,237.0807451351488,3,114.24566108057041,650.8098986125149
600000,290.1406108683453,187.9375932763858,3,77.46920353316065,502.8120182035299
610000,254.48974935187175,135.38628475449488,3,101.2857457745935,407.69375292915004
620000,276.2386339425136,22.150136863919453,3,251.17339447981055,301.3038734052167
630000,324.4297643062253,141.72110801852742,3,164.0572333721016,484.80229524034905
640000,522.6676864609984,364.18528102562715,3,110.55324519230953,934.7821277296873
650000,314.33047634054884,108.38312228647067,3,191.68342767824515,436.97752500285253
660000,266.6466735247201,147.65434013248074,3,99.56005840061161,433.73328864882853
670000,206.3533470434453,83.16463417400774,3,112.24370414570186,300.46298994118877
680000,339.7166479816888,73.23021733385639,3,256.8488560282759,422.5844399351017
690000,476.80107757466493,220.58266293080356,3,227.18829632420363,726.4138588251262
700000,364.7795665927934,37.616028450885025,3,322.2130232549457,407.3461099306411
710000,214.49137873920347,133.9379358376927,3,62.926336250437856,366.05642122796905
720000,382.043425514549,253.22717455769146,3,95.48990181640642,668.5969492126917
730000,410.0203265853348,43.62025426349678,3,360.6593621246812,459.38129104598835
740000,228.18589702203766,148.49389561648584,3,60.14923543193686,396.22255861213847
750000,332.3749157993468,141.20688882169077,3,172.58427866498664,492.165552933707
760000,408.74681381630694,115.8135764487523,3,277.69141472084607,539.8022129117678
770000,361.98154948657174,96.4208380684221,3,252.87109973055783,471.09199924258564
780000,260.9695606318776,179.09907143683472,3,58.29988230476724,463.6392389589879
790000,449.53905647145194,190.26904418666624,3,234.22936406738782,664.8487488755161
800000,384.29215779076685,191.11996850115108,3,168.0195538779282,600.5647617036055
810000,235.51864032222326,184.99832941098185,3,26.173323163502857,444.86395748094367
820000,319.5489682528042,260.1976495699443,3,25.107609530242257,613.9903269753661
830000,273.18680974820546,195.11589046496468,3,52.3923944572885,493.9812250391224
840000,376.72413819961866,88.8563598258438,3,276.1737014008828,477.2745749983545
850000,575.5513805888853,384.4492211301539,3,140.50613242278212,1010.5966287549885
860000,422.29702699534363,124.88508310232218,3,280.97625175543044,563.6178022352568
870000,567.4342266651032,413.3021558468835,3,99.73880923279546,1035.129644097411
880000,438.6911897386055,38.95626510646779,3,394.60802585275593,482.77435362445505
890000,446.9787391381314,52.43611657594161,3,387.64168733818957,506.31579093807323
900000,357.21694777262564,66.4099541938709,3,282.06701010844955,432.36688543680174
910000,347.75600032321495,191.51041326539845,3,131.04156656648217,564.4704340799477
920000,379.4263222561297,100.58638229954965,3,265.6021154571167,493.2505290551427
930000,463.6329585538294,155.0011330541059,3,288.2326646025987,639.0332525050601
940000,490.72977875313035,158.9765102886616,3,310.8309219735576,670.6286355327031
950000,490.33282573699285,123.25588655023834,3,350.8556599501801,629.8099915238056
960000,322.5268606171877,227.61405103703558,3,64.95731468754326,580.0964065468322
970000,619.0731550400607,480.54857123175515,3,75.28125499974658,1162.8650550803748
980000,573.0758228198578,274.9396610893617,3,261.9523076317967,884.1993380079189
990000,525.6236284868384,144.27548496925442,3,362.3605479212912,688.8867090523855
1000000,398.9177276461782,145.53995846309655,3,234.22376062100733,563.6116946713491
