step,mean,std,n,ci95_low,ci95_high
10000,-320.41970390914867,77.94979293087002,3,-408.62819841569893,-232.2112094025984
20000,-325.87891357228335,110.74333756764953,3,-451.1967972533379,-200.56102989122883
30000,-46.15190130038682,222.60307112073977,3,-298.05098964702,205.74718704624638
40000,1500.0118656623624,1025.0079603712575,3,340.1061668523271,2659.9175644723978
50000,2368.378011461515,1194.283993495881,3,1016.9184485994472,3719.837574323583
60000,2211.635487813268,1108.9605338350239,3,956.7285088618364,3466.5424667646994
70000,3057.174201226758,405.2209679872168,3,2598.6235087273053,3515.724893726211
80000,2867.9847641513857,751.507614211625,3,2017.5738423596408,3718.3956859431305
90000,3278.8143853270944,670.0024207095746,3,2520.635272536522,4036.993498117667
100000,3624.9845481665166,295.34788774993524,3,3290.766950472372,3959.202145860661
110000,3547.0124135979004,149.88417280658075,3,3377.4025052642987,3716.622321931502
120000,3569.67556200226,123.20979264800113,3,3430.250556376102,3709.100567628418
130000,3790.3725460652495,568.006292396121,3,3147.612917865298,4433.132174265201
140000,3583.076135585868,98.75942376861146,3,3471.3193269861404,3694.832944185596
150000,3373.38759599804,338.6747745857183,3,2990.1410103394314,3756.6341816566487
160000,3684.3673587633184,454.5594899777977,3,3169.9848727166127,4198.749844810024
170000,3684.3795790876097,59.94205584338966,3,3616.548757416767,3752.2104007584526
180000,4238.725444225307,207.62549272345603,3,4003.7750813608554,4473.675807089759
190000,4586.872424218546,316.5465769782962,3,4228.666251416777,4945.078597020315
200000,4391.727135066075,340.8114005586503,3,4006.062729509432,4777.391540622718
210000,4434.524051467602,324.3820568569146,3,4067.4511984882183,4801.596904446985
220000,4532.407508638436,268.48990180659507,3,4228.582583156278,4836.232434120595
230000,4597.266122109332,409.6706177043793,3,4133.680176944353,5060.852067274312
240000,4462.3208169548125,672.9850323843744,3,3700.7665613237054,5223.875072585919
250000,4084.063618748649,1631.837272560522,3,2237.4659091191443,5930.6613283781535
260000,3118.0185453257386,3073.142392663988,3,-359.56944649296565,6595.606537144443
270000,2804.936681362719,3018.2376168854107,3,-610.5207077878922,6220.39407051333
280000,3967.6949027677633,1804.3847731507435,3,1925.841315147286,6009.548490388241
290000,3755.914864095285,2016.2398512398129,3,1474.324687201537,6037.505040989033
300000,4051.406329660577,2136.151588936258,3,1634.1232476522737,6468.68941166888
310000,3974.8506667750976,2097.3365301282456,3,1601.490958683572,6348.210374866623
320000,3946.498014570197,2247.487266630368,3,1403.2267529271703,6489.769276213224
330000,3894.113694191318,2405.18189401688,3,1172.3941628284247,6615.833225554211
340000,3840.3365832492796,2692.03118102127,3,794.0165262714663,6886.656640227093
350000,4241.147294512109,1759.746177630153,3,2249.807032966148,6232.4875560580695
360000,4132.305049224403,1722.6349348464832,3,2182.9601122602244,6081.649986188581
370000,4316.785709459792,1756.0053264544067,3,2329.67861952313,6303.892799396454
380000,4418.180916794087,1796.659273250381,3,2385.0695552899233,6451.292278298251
